circuit,q,zac_us,fable_search_us,ratio,zac_fid,fable_search_fid
bv_n14,14,2790.8,3510.7,1.26,0.8572,0.8304
bv_n19,19,3975.4,4854.8,1.22,0.7977,0.7608
bv_n30,30,4096.1,3950.2,0.96,0.7729,0.7725
bv_n70,70,9132.4,11564.1,1.27,0.4517,0.3777
cat_n22,22,4619.8,5912.3,1.28,0.7621,0.7477
cat_n35,35,8208.3,10590.5,1.29,0.5949,0.5625
ghz_n23,23,4759.6,6247.7,1.31,0.7509,0.7339
ghz_n40,40,9656.3,12570.5,1.30,0.5309,0.4909
ghz_n78,78,17986.1,24897.7,1.38,0.1833,0.1293
ising_n42,42,3181.4,1528.0,0.48,0.4566,0.4938
ising_n98,98,3386.7,4421.0,1.31,0.1553,0.1580
knn_n31,31,16516.0,9160.5,0.55,0.2512,0.3482
multiply_n13,13,7361.5,4943.4,0.67,0.6486,0.6995
qft_n18,18,20512.6,15094.3,0.74,0.0813,0.1096
qft_n29,29,46256.9,27281.4,0.59,0.0011,0.0027
seca_n11,11,11315.3,8589.7,0.76,0.4458,0.4968
swap_test_n25,25,14207.2,7443.2,0.52,0.3424,0.4416
wstate_n27,27,8189.0,8784.4,1.07,0.5219,0.5394
