circuit,q,zac_us,fable_us,ga_us,notes_us,ratio_fable,ratio_ga,ratio_notes,steps_zac,steps_fable,steps_ga,fid_zac,fid_fable,fid_ga,fid_notes
bv_n14,14,2790.817261521812,2790.817261521812,2790.817261521812,3510.7,1.0,1.0,1.258,26,26,26,0.8572,0.8572,0.8572,0.8304
bv_n19,19,3975.391001440943,3975.391001440943,3975.391001440943,4854.8,1.0,1.0,1.221,37,37,37,0.7977,0.7977,0.7977,0.7608
bv_n30,30,4096.082772306836,4096.707772306836,4096.707772306836,3950.2,1.0,1.0,0.964,37,37,37,0.7729,0.7727,0.7727,0.7725
bv_n70,70,9132.355654620213,9132.355654620213,9387.014973833553,11564.1,1.0,1.028,1.266,73,73,73,0.4517,0.4517,0.4499,0.3777
cat_n22,22,4619.7624010741665,4619.7624010741665,4619.7624010741665,5912.3,1.0,1.0,1.28,43,43,43,0.7621,0.7621,0.7621,0.7477
cat_n35,35,8208.30887081485,8208.30887081485,8208.30887081485,10590.5,1.0,1.0,1.29,69,69,69,0.5949,0.5949,0.5949,0.5625
ghz_n23,23,4759.580876789557,4759.580876789557,4759.580876789557,6247.7,1.0,1.0,1.313,44,44,44,0.7509,0.7509,0.7509,0.7339
ghz_n40,40,9656.330665710744,9656.330665710744,9656.330665710744,12570.5,1.0,1.0,1.302,78,78,78,0.5309,0.5309,0.5309,0.4909
ghz_n78,78,17986.10712235585,17986.10712235585,17986.10712235585,24897.7,1.0,1.0,1.384,154,154,154,0.1833,0.1833,0.1833,0.1293
ising_n42,42,3181.445741536922,2113.9895868864087,1828.3772586808057,1528.0,0.664,0.575,0.48,22,16,14,0.4566,0.4704,0.4742,0.4938
ising_n98,98,3386.6879537596146,3250.462787592222,3217.3541105843956,4421.0,0.96,0.95,1.305,23,22,22,0.1553,0.1567,0.157,0.158
knn_n31,31,16515.956721031987,16643.83900770393,17222.80980346696,9160.5,1.008,1.043,0.555,157,153,156,0.2512,0.2506,0.2476,0.3482
multiply_n13,13,7361.481981694513,5882.55521512252,5882.55521512252,4943.4,0.799,0.799,0.672,67,58,58,0.6486,0.657,0.657,0.6995
qft_n18,18,20512.55976446989,24709.603029661557,24970.771988175577,15094.3,1.205,1.217,0.736,177,243,246,0.0813,0.0773,0.077,0.1096
qft_n29,29,46256.916291223344,36691.8506273858,36957.706647459345,27281.4,0.793,0.799,0.59,381,369,370,0.0011,0.0032,0.0032,0.0027
seca_n11,11,11315.25243965035,9397.886627878022,9648.563392959355,8589.7,0.831,0.853,0.759,109,97,99,0.4458,0.4515,0.4507,0.4968
swap_test_n25,25,14207.179496635727,12140.21419705726,14314.309922019936,7443.2,0.855,1.008,0.524,133,120,126,0.3424,0.356,0.3432,0.4416
wstate_n27,27,8189.001000221132,7993.102175124567,7993.102175124567,8784.4,0.976,0.976,1.073,72,72,72,0.5219,0.5238,0.5238,0.5394
GEOMEAN/MEAN,,,,,,0.942,0.948,0.938,,,,0.4781,0.4804,0.4796,0.4831
