rank delta_logF display_delta tail ratio
1 -0.187327670958 -0.0475990902502 -1 0.829171996285
2 -0.101869823891 -0.0475990902502 -1 0.903147112194
3 -0.100495771003 -0.0475990902502 -1 0.904388937062
4 -0.076671822054 -0.0475990902502 -1 0.926193760102
5 -0.0728727054334 -0.0475990902502 -1 0.929719170692
6 -0.0494576423263 -0.0475990902502 -1 0.951745471007
7 -0.0475012717199 -0.0475012717199 0 0.953609260408
8 -0.0409345867508 -0.0409345867508 0 0.959891917543
9 -0.0409016611629 -0.0409016611629 0 0.959923523069
10 -0.0372855553727 -0.0372855553727 0 0.963400991737
11 -0.0356614066342 -0.0356614066342 0 0.964966969589
12 -0.0353835298217 -0.0353835298217 0 0.965235148793
13 -0.0345074279658 -0.0345074279658 0 0.966081163642
14 -0.0321704743111 -0.0321704743111 0 0.968341490659
15 -0.0320533636978 -0.0320533636978 0 0.968454900366
16 -0.031656657552 -0.031656657552 0 0.968839168592
17 -0.0296760776177 -0.0296760776177 0 0.970759933495
18 -0.0289072188896 -0.0289072188896 0 0.971506597746
19 -0.028062132164 -0.028062132164 0 0.972327952085
20 -0.0276804567047 -0.0276804567047 0 0.972699136634
21 -0.0259161000108 -0.0259161000108 0 0.974416839742
22 -0.0243868729429 -0.0243868729429 0 0.975908084284
23 -0.0236931839174 -0.0236931839174 0 0.976585295871
24 -0.018798821661 -0.018798821661 0 0.981376774134
25 -0.0184510929091 -0.0184510929091 0 0.981718086393
26 -0.017729005949 -0.017729005949 0 0.982427228222
27 -0.0177269083105 -0.0177269083105 0 0.982429289002
28 -0.0176899291252 -0.0176899291252 0 0.982465619108
29 -0.0167312073655 -0.0167312073655 0 0.983407981935
30 -0.0167269985999 -0.0167269985999 0 0.983412120877
31 -0.0166445744223 -0.0166445744223 0 0.983493181153
32 -0.0166343009954 -0.0166343009954 0 0.98350328505
33 -0.0164447201188 -0.0164447201188 0 0.983689756141
34 -0.0159693144354 -0.0159693144354 0 0.984157519021
35 -0.0157318477404 -0.0157318477404 0 0.984391251405
36 -0.0152508946386 -0.0152508946386 0 0.984864811302
37 -0.0150016884298 -0.0150016884298 0 0.985110276312
38 -0.0136226530637 -0.0136226530637 0 0.986469715364
39 -0.0134695368411 -0.0134695368411 0 0.986620771445
40 -0.0122805785524 -0.0122805785524 0 0.98779452002
41 -0.0118912134163 -0.0118912134163 0 0.988179207655
42 -0.0110804651681 -0.0110804651681 0 0.988980697076
43 -0.0102769610894 -0.0102769610894 0 0.989775666437
44 -0.0100030872141 -0.0100030872141 0 0.990046777258
45 -0.00912588859678 -0.00912588859678 0 0.990915625943
46 -0.00776455376347 -0.00776455376347 0 0.992265512517
47 -0.00759761921624 -0.00759761921624 0 0.992431169737
48 -0.00737429462444 -0.00737429462444 0 0.992652828773
49 -0.00726424463947 -0.00726424463947 0 0.992762076213
50 -0.00593495175412 -0.00593495175412 0 0.994082625282
51 -0.00549608250776 -0.00549608250776 0 0.994518993322
52 -0.00535583844508 -0.00535583844508 0 0.994658478487
53 -0.00512774878918 -0.00512774878918 0 0.994885375672
