rank delta_logF display_delta tail ratio
1 -0.0279270036104 -0.0279270036104 0 0.972459350232
2 -0.0198860033635 -0.0198860033635 0 0.980310419028
3 -0.0196440890378 -0.0196440890378 0 0.980547598849
4 -0.0128471578971 -0.0128471578971 0 0.987235014565
5 -0.00754562971661 -0.00754562971661 0 0.992482767079
6 -0.00106807226233 -0.00106807226233 0 0.998932497924
7 0.00390256717422 0.00390256717422 0 1.00391019211
8 0.00479219202802 0.00479219202802 0 1.00480369294
9 0.00493074559056 0.00493074559056 0 1.00494292172
10 0.00549165060205 0.00549165060205 0 1.00550675736
11 0.00708589380191 0.00708589380191 0 1.00711105815
12 0.00821744778582 0.00821744778582 0 1.00825130368
13 0.0190237750925 0.0190237750925 0 1.01920588004
14 0.030470206183 0.030470206183 0 1.03093917398
15 0.0455810331928 0.0455810331928 0 1.04663581342
16 0.0783524823697 0.0783524823697 0 1.08150380252
17 0.268687526334 0.268687526334 0 1.30824628466
18 0.989989742592 0.989989742592 0 2.6912068674
