circuit,ZAC 真值_ratio,GA v1a_ratio,FABLE_ratio,ZAC_new-B_ratio,ZAC_new-A_ratio,ZAC 真值_batches,GA v1a_batches,FABLE_batches,ZAC_new-B_batches,ZAC_new-A_batches,ZAC 真值_fidelity,GA v1a_fidelity,FABLE_fidelity,ZAC_new-B_fidelity,ZAC_new-A_fidelity
bv_n14,1.0000,1.0000,1.0000,1.0000,1.0000,26,26,26,26,26,0.8571652757801561,0.8571652757801561,0.8571652757801561,0.8571652757801561,0.8571652757801561
bv_n19,1.0000,1.0000,1.0000,1.0000,1.0000,37,37,37,37,37,0.7977213843395767,0.7977213843395767,0.7977213843395767,0.7977213843395767,0.7977213843395767
bv_n30,1.0000,1.0000,1.0000,1.0000,1.0000,37,37,37,37,37,0.7726837364520343,0.7726837364520343,0.7726837364520343,0.7726837364520343,0.7726837364520343
bv_n70,1.0000,1.0279,1.0000,1.0000,1.0000,73,73,73,73,73,0.45169115418047656,0.4498729322763673,0.45169115418047656,0.45169115418047656,0.45169115418047656
cat_n22,1.0000,1.0000,1.0000,1.0000,1.0000,43,43,43,43,43,0.7620962330351111,0.7620962330351111,0.7620962330351111,0.7620962330351111,0.7620962330351111
cat_n35,1.0000,1.0000,1.0000,1.0000,1.0000,69,69,69,69,69,0.5948632840228434,0.5948632840228434,0.5948632840228434,0.5948632840228434,0.5948632840228434
ghz_n23,1.0000,1.0000,1.0000,1.0000,1.0000,44,44,44,44,44,0.7509457285568552,0.7509457285568552,0.7509457285568552,0.7509457285568552,0.7509457285568552
ghz_n40,1.0000,1.0000,1.0000,1.0000,1.0000,78,78,78,78,78,0.5308785892598371,0.5308785892598371,0.5308785892598371,0.5308785892598371,0.5308785892598371
ghz_n78,1.0000,1.0000,1.0000,1.0000,1.0000,154,154,154,154,154,0.1832812901313134,0.1832812901313134,0.1832812901313134,0.1832812901313134,0.1832812901313134
ising_n42,1.0000,0.5747,0.6645,1.0000,0.6198,22,14,16,22,15,0.45657264365824496,0.47422899428290965,0.4704473642339325,0.45657264365824496,0.472326894544301
ising_n98,1.0000,0.9500,0.9598,1.0000,0.8609,23,22,22,23,20,0.15528452763723904,0.1570155177260399,0.15667557379033667,0.15528452763723904,0.16014926966949203
knn_n31,1.0000,1.0428,1.0078,1.0103,0.9839,157,156,153,157,144,0.25128139986651693,0.24759411489059793,0.2506077100861864,0.2503862887590157,0.25268176133253645
multiply_n13,1.0000,0.7991,0.7991,0.9519,0.8013,67,58,58,64,59,0.6485566343515687,0.6569580304639064,0.6569580304639064,0.6505573084389404,0.6568665002483823
qft_n18,1.0000,1.2173,1.2046,1.0000,1.2101,177,246,243,177,243,0.08133900221128934,0.07704256996654427,0.07728823275386183,0.08133900221128934,0.07718300106541266
qft_n29,1.0000,0.7898,0.7841,0.9714,0.8716,381,370,369,369,409,0.0025486416322456243,0.0031981622670130888,0.0032150351323074634,0.0025865672248587806,0.002964577359573458
seca_n11,1.0000,0.8505,0.8284,1.0000,0.8259,109,99,97,109,97,0.4451070781371872,0.4507134078953475,0.4515475082986669,0.4451070781371872,0.4516409597554661
swap_test_n25,1.0000,1.0076,0.8546,1.0019,0.9453,133,126,120,132,129,0.34247046890990346,0.34320725022727877,0.3559819033094233,0.342311334318986,0.3483542817409474
wstate_n27,1.0000,1.0000,1.0000,1.0000,1.0000,72,72,72,72,72,0.5237870916484926,0.5237870916484926,0.5237870916484926,0.5237870916484926,0.5237870916484926
