dataset,canonical_sha256,circuits,member_N,qubits,gates_2q,M1,M2,Default
qmap154,012b9e9f7ae5656aefa02b50a70cdc55461c1dc41c9fed19de9b1e8eb288a0ae,"[""4gt11_84""]",1,5,9,"{""fidelity"": 0.9068524593392224, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.040020013343341376, ""log_coherence_linear"": -0.007241811046984918, ""log_fidelity"": -0.09777551096426074, ""log_idle_excitation"": 0.0, ""move_batches"": 16.0, ""move_time_us"": 1592.9343498347191, ""transfers"": 40.0}","{""fidelity"": 0.9065763464882078, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.040020013343341376, ""log_coherence_linear"": -0.007546331249003319, ""log_fidelity"": -0.09808003116627913, ""log_idle_excitation"": 0.0, ""move_batches"": 16.0, ""move_time_us"": 1631.7954108998247, ""transfers"": 40.0}","{""fidelity"": 0.9105067545721256, ""idle_exposures"": 5.0, ""log_atom_transfer"": -0.026013008673171894, ""log_coherence_linear"": -0.004711614973677119, ""log_fidelity"": -0.09375396131137584, ""log_idle_excitation"": -0.012515651090592385, ""move_batches"": 11.0, ""move_time_us"": 1146.0869877163889, ""transfers"": 26.0}"
qmap154,02ff18ecd3cbf5d461bcd36200261de37bb114a1b24a49eed03d37f500b7c215,"[""4gt5_76""]",1,5,46,"{""fidelity"": 0.6264548113306613, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.1800900600450362, ""log_coherence_linear"": -0.0333080963701009, ""log_fidelity"": -0.4676786360093316, ""log_idle_excitation"": 0.0, ""move_batches"": 77.0, ""move_time_us"": 7308.292786733187, ""transfers"": 180.0}","{""fidelity"": 0.6259927877065123, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.1800900600450362, ""log_coherence_linear"": -0.034045889544781056, ""log_fidelity"": -0.46841642918401183, ""log_idle_excitation"": 0.0, ""move_batches"": 78.0, ""move_time_us"": 7424.144944735588, ""transfers"": 180.0}","{""fidelity"": 0.6233918072905074, ""idle_exposures"": 25.0, ""log_atom_transfer"": -0.1280640426986924, ""log_coherence_linear"": -0.027656930196321615, ""log_fidelity"": -0.47258005371391043, ""log_idle_excitation"": -0.06257825545296192, ""move_batches"": 61.0, ""move_time_us"": 6258.492990539773, ""transfers"": 128.0}"
qmap154,040d1773bb1501d1f86ca2d9028bed22e4dbfe9728922474bce44a5531b21b5a,"[""majority_239""]",1,7,267,"{""fidelity"": 0.054270497023150614, ""idle_exposures"": 0.0, ""log_atom_transfer"": -1.108554369610556, ""log_coherence_linear"": -0.3174490816281732, ""log_fidelity"": -2.9137745326080458, ""log_idle_excitation"": 0.0, ""move_batches"": 479.0, ""move_time_us"": 46729.855626339995, ""transfers"": 1108.0}","{""fidelity"": 0.05482379734590389, ""idle_exposures"": 0.0, ""log_atom_transfer"": -1.108554369610556, ""log_coherence_linear"": -0.30730547017413845, ""log_fidelity"": -2.903630921154011, ""log_idle_excitation"": 0.0, ""move_batches"": 469.0, ""move_time_us"": 44547.09268165529, ""transfers"": 1108.0}","{""fidelity"": 0.05291785618858417, ""idle_exposures"": 175.0, ""log_atom_transfer"": -0.7683842561921543, ""log_coherence_linear"": -0.2448113252435472, ""log_fidelity"": -2.9390144509757516, ""log_idle_excitation"": -0.4380477881707335, ""move_batches"": 350.0, ""move_time_us"": 37102.80075269707, ""transfers"": 768.0}"
qmap154,081979fd7492baf5b800ab2ecf9a40368544e0b330c139e248e5342892ed469a,"[""qe_qft_4""]",1,5,25,"{""fidelity"": 0.8140289251436202, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.05602801868067792, ""log_coherence_linear"": -0.011815924389093936, ""log_fidelity"": -0.20575937903646271, ""log_idle_excitation"": 0.0, ""move_batches"": 20.0, ""move_time_us"": 2205.7549704796156, ""transfers"": 56.0}","{""fidelity"": 0.8148677907179451, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.05602801868067792, ""log_coherence_linear"": -0.010785944230970734, ""log_fidelity"": -0.2047293988783395, ""log_idle_excitation"": 0.0, ""move_batches"": 16.0, ""move_time_us"": 1650.5620692555674, ""transfers"": 56.0}","{""fidelity"": 0.825316946213586, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.04402201467767551, ""log_coherence_linear"": -0.010050338551677064, ""log_fidelity"": -0.19198778919604342, ""log_idle_excitation"": 0.0, ""move_batches"": 17.0, ""move_time_us"": 1759.0666628095948, ""transfers"": 44.0}"
qmap154,0a0d73bbac4f2706db89eac74c34669b900537059d81b0bf2094c7f97d0304a3,"[""one-two-three-v0_98""]",1,5,65,"{""fidelity"": 0.5068630035265466, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.2641320880660531, ""log_coherence_linear"": -0.053261769225394134, ""log_fidelity"": -0.6795145219110669, ""log_idle_excitation"": 0.0, ""move_batches"": 119.0, ""move_time_us"": 11744.198106370073, ""transfers"": 264.0}","{""fidelity"": 0.5058266573360579, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.2681340894003872, ""log_coherence_linear"": -0.05130648880135913, ""log_fidelity"": -0.681561242821366, ""log_idle_excitation"": 0.0, ""move_batches"": 117.0, ""move_time_us"": 11071.714919558008, ""transfers"": 268.0}","{""fidelity"": 0.5006764972844197, ""idle_exposures"": 43.0, ""log_atom_transfer"": -0.18409206137937031, ""log_coherence_linear"": -0.03794777508541536, ""log_fidelity"": -0.6917951004634999, ""log_idle_excitation"": -0.1076345993790945, ""move_batches"": 84.0, ""move_time_us"": 8282.482348399653, ""transfers"": 184.0}"
qmap154,0d21004070d0a6614961fe081dffc6b68f22d145e1bac2b93deac3a6cbd14dbf,"[""rd32_270""]",1,5,36,"{""fidelity"": 0.6848017524158954, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.1480740493703631, ""log_coherence_linear"": -0.029397234500245402, ""log_fidelity"": -0.37862589513934025, ""log_idle_excitation"": 0.0, ""move_batches"": 68.0, ""move_time_us"": 6411.441859268658, ""transfers"": 148.0}","{""fidelity"": 0.6846076576810036, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.1480740493703631, ""log_coherence_linear"": -0.02968070668140657, ""log_fidelity"": -0.37890936732050146, ""log_idle_excitation"": 0.0, ""move_batches"": 68.0, ""move_time_us"": 6443.982584073131, ""transfers"": 148.0}","{""fidelity"": 0.6829152356103855, ""idle_exposures"": 25.0, ""log_atom_transfer"": -0.09604803202401929, ""log_coherence_linear"": -0.02160363435514187, ""log_fidelity"": -0.38138453310085485, ""log_idle_excitation"": -0.06257825545296192, ""move_batches"": 47.0, ""move_time_us"": 4722.044714349889, ""transfers"": 96.0}"
qmap154,128f4fc145f17a5c3292150a1026e96555931cd0f863e3eed45c36c456983d23,"[""4mod7-v0_94""]",1,5,70,"{""fidelity"": 0.48025118120940175, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.2881440960720579, ""log_coherence_linear"": -0.05541814287418557, ""log_fidelity"": -0.7334460177646025, ""log_idle_excitation"": 0.0, ""move_batches"": 129.0, ""move_time_us"": 12184.608340405988, ""transfers"": 288.0}","{""fidelity"": 0.4800586396713611, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.2881440960720579, ""log_coherence_linear"": -0.05581914166943712, ""log_fidelity"": -0.7338470165598541, ""log_idle_excitation"": 0.0, ""move_batches"": 127.0, ""move_time_us"": 12095.57720743488, ""transfers"": 288.0}","{""fidelity"": 0.47232861436881496, ""idle_exposures"": 49.0, ""log_atom_transfer"": -0.19609806538237273, ""log_coherence_linear"": -0.041445093871505134, ""log_fidelity"": -0.7500803187600423, ""log_idle_excitation"": -0.12265338068780537, ""move_batches"": 92.0, ""move_time_us"": 9180.29154638319, ""transfers"": 196.0}"
qmap154,1339e2c7e5bc81127fa6ab1721b679c0a6f525f4446d354f7ed78b8331f01fac,"[""ground_state_estimation_10""]",1,13,3,"{""fidelity"": 0.9665585995497005, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.008004002668668275, ""log_coherence_linear"": -0.007071138237996509, ""log_fidelity"": -0.034013351494323545, ""log_idle_excitation"": 0.0, ""move_batches"": 2.0, ""move_time_us"": 199.99282681158866, ""transfers"": 8.0}","{""fidelity"": 0.9662332898517291, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.008004002668668275, ""log_coherence_linear"": -0.007407759788228736, ""log_fidelity"": -0.03434997304455577, ""log_idle_excitation"": 0.0, ""move_batches"": 2.0, ""move_time_us"": 238.81215109115067, ""transfers"": 8.0}","{""fidelity"": 0.9711608306325407, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.0040020013343341375, ""log_coherence_linear"": -0.006322978465524478, ""log_fidelity"": -0.029263190387517374, ""log_idle_excitation"": 0.0, ""move_batches"": 1.0, ""move_time_us"": 109.09637512458573, ""transfers"": 4.0}"
qmap154,13f4bceb146bbcba79157a59457fb4180968dfbf0e27e986fd3a79153e3c761d,"[""alu-bdd_288""]",1,7,38,"{""fidelity"": 0.6551496903431628, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.16408205470769963, ""log_coherence_linear"": -0.046429604922416046, ""log_fidelity"": -0.422891534581944, ""log_idle_excitation"": 0.0, ""move_batches"": 72.0, ""move_time_us"": 7005.243285476675, ""transfers"": 164.0}","{""fidelity"": 0.6549797512121575, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.16408205470769963, ""log_coherence_linear"": -0.04668902834512263, ""log_fidelity"": -0.4231509580046506, ""log_idle_excitation"": 0.0, ""move_batches"": 71.0, ""move_time_us"": 7060.4654913555805, ""transfers"": 164.0}","{""fidelity"": 0.6553138432130609, ""idle_exposures"": 26.0, ""log_atom_transfer"": -0.11005503669418878, ""log_coherence_linear"": -0.03512471084186211, ""log_fidelity"": -0.42264100815895966, ""log_idle_excitation"": -0.0650813856710804, ""move_batches"": 49.0, ""move_time_us"": 5042.429377730769, ""transfers"": 110.0}"
qmap154,157102116dddf0ba09f368852ccbf37928a0e99f99e9d7d4859f84655c619419,"[""4gt10-v1_81""]",1,5,66,"{""fidelity"": 0.5001153174664597, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.27213609073472134, ""log_coherence_linear"": -0.05274714001428218, ""log_fidelity"": -0.6929165722191735, ""log_idle_excitation"": 0.0, ""move_batches"": 122.0, ""move_time_us"": 11490.431948238245, ""transfers"": 272.0}","{""fidelity"": 0.5001419293993478, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.27213609073472134, ""log_coherence_linear"": -0.052693929836644754, ""log_fidelity"": -0.6928633620415361, ""log_idle_excitation"": 0.0, ""move_batches"": 120.0, ""move_time_us"": 11370.636327242406, ""transfers"": 272.0}","{""fidelity"": 0.49185433145940083, ""idle_exposures"": 43.0, ""log_atom_transfer"": -0.19209606404803858, ""log_coherence_linear"": -0.04180867570067607, ""log_fidelity"": -0.7095726805979792, ""log_idle_excitation"": -0.1076345993790945, ""move_batches"": 88.0, ""move_time_us"": 9300.500644201371, ""transfers"": 192.0}"
