dataset,circuit,canonical_sha256,qubits,gates_1q,gates_2q,M1,M2,Default,common_fidelity
zac18,bv_n14_transpiled,a9f1ef0f566a3cc1a347e8cb7bf74983b239326618f114a908e46c6e37c67752,14,29,13,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.8450728175261345, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.05602801868067792, ""log_coherence_linear"": -0.03844011310282679, ""log_fidelity"": -0.1683324807506382, ""log_idle_excitation"": -0.0, ""move_batches"": 26.0, ""move_time_us"": 2768.637261521812, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 56.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.8449694367086806, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.05602801868067792, ""log_coherence_linear"": -0.03856245420681251, ""log_fidelity"": -0.16845482185462393, ""log_idle_excitation"": -0.0, ""move_batches"": 26.0, ""move_time_us"": 2781.709238336421, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 56.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.8492499463115744, ""fidelity_valid"": 3, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.05202601734634379, ""log_coherence_linear"": -0.037511368846603374, ""log_fidelity"": -0.16340173516008066, ""log_idle_excitation"": -0.0, ""move_batches"": 25.0, ""move_time_us"": 2665.112822177856, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 52.0, ""valid"": 3}",True
zac18,bv_n19_transpiled,ff087c43a47c1c89a5515728dba98c1a8254212cb63163c9c21d361c76c1a6ad,19,39,18,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7774546085489721, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07603802535234862, ""log_coherence_linear"": -0.0737644843932738, ""log_fidelity"": -0.25173001792049726, ""log_idle_excitation"": -0.0, ""move_batches"": 37.0, ""move_time_us"": 3945.1610014409425, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 76.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7787687016761891, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07603802535234862, ""log_coherence_linear"": -0.07207566064810482, ""log_fidelity"": -0.2500411941753283, ""log_idle_excitation"": -0.0, ""move_batches"": 36.0, ""move_time_us"": 3812.3435303917854, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 76.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7825096673937727, ""fidelity_valid"": 3, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07203602401801447, ""log_coherence_linear"": -0.07128546995442145, ""log_fidelity"": -0.24524900214731077, ""log_idle_excitation"": -0.0, ""move_batches"": 35.0, ""move_time_us"": 3747.0370947516567, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 72.0, ""valid"": 3}",True
zac18,bv_n30_transpiled,58a8fb4a501fe149a264a128891f77ec760f078cd053bfd81168637de4c8f191,30,39,18,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7422332160838934, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07603802535234862, ""log_coherence_linear"": -0.12012624428106154, ""log_fidelity"": -0.298091777808285, ""log_idle_excitation"": -0.0, ""move_batches"": 37.0, ""move_time_us"": 4065.852772306838, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 76.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7413474845235002, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07603802535234862, ""log_coherence_linear"": -0.12132029009908311, ""log_fidelity"": -0.29928582362630657, ""log_idle_excitation"": -0.0, ""move_batches"": 36.0, ""move_time_us"": 4125.315297348518, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 76.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7483576077531813, ""fidelity_valid"": 3, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.07203602401801447, ""log_coherence_linear"": -0.11591079782957751, ""log_fidelity"": -0.2898743300224668, ""log_idle_excitation"": -0.0, ""move_batches"": 35.0, ""move_time_us"": 3853.9080872106674, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 72.0, ""valid"": 3}",True
zac18,bv_n70_transpiled,b0b7114a0df2cf06b93931990669c2490dfc66245eaaed7ea956f3a4fb02967a,70,75,36,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.38134576195499925, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.1600800533733655, ""log_coherence_linear"": -0.6010138690061858, ""log_fidelity"": -0.9640488037022951, ""log_idle_excitation"": -0.0, ""move_batches"": 73.0, ""move_time_us"": 9053.145654620213, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 160.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.38822880670334686, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.16808405604203377, ""log_coherence_linear"": -0.5751214678052031, ""log_fidelity"": -0.9461604051699807, ""log_idle_excitation"": -0.0, ""move_batches"": 76.0, ""move_time_us"": 8452.663978587909, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 168.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.3775367331081053, ""fidelity_valid"": 3, ""idle_exposures"": 6.0, ""log_atom_transfer"": -0.15407705137186428, ""log_coherence_linear"": -0.6020366947770479, ""log_fidelity"": -0.9740874087803668, ""log_idle_excitation"": -0.01501878130871086, ""move_batches"": 75.0, ""move_time_us"": 9333.590220801212, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 154.0, ""valid"": 3}",True
zac18,cat_n22_transpiled,db18092cb4f75992883d38c951468535ffe87a4953127995ec4c404b63a4671a,22,43,21,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.748958679252337, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.08804402935535102, ""log_coherence_linear"": -0.08286212183725532, ""log_fidelity"": -0.28907146487412205, ""log_idle_excitation"": -0.0, ""move_batches"": 43.0, ""move_time_us"": 4597.827401074167, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 88.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7387287737394874, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.08804402935535102, ""log_coherence_linear"": -0.09661510030849814, ""log_fidelity"": -0.30282444334536485, ""log_idle_excitation"": -0.0, ""move_batches"": 42.0, ""move_time_us"": 4491.71336731659, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 88.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.754284567972137, ""fidelity_valid"": 3, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.08404202802101689, ""log_coherence_linear"": -0.07977822936967463, ""log_fidelity"": -0.28198557107220723, ""log_idle_excitation"": -0.0, ""move_batches"": 41.0, ""move_time_us"": 4385.610496188305, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 84.0, ""valid"": 3}",True
zac18,cat_n35_transpiled,7a6c0868d5e5299bb9152d872b95e55e6b2103d870f99ac53dcbcd1ab6718f7b,35,69,34,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.5695901026084134, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.14007004670169482, ""log_coherence_linear"": -0.23163872075059816, ""log_fidelity"": -0.5628382950739362, ""log_idle_excitation"": -0.0, ""move_batches"": 69.0, ""move_time_us"": 8173.5688708148555, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 140.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.5536180242396278, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.14407204803602894, ""log_coherence_linear"": -0.256078741314691, ""log_fidelity"": -0.5912803169723632, ""log_idle_excitation"": -0.0, ""move_batches"": 69.0, ""move_time_us"": 7499.4401077433085, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 144.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.5718173093308323, ""fidelity_valid"": 3, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.13606804536736067, ""log_coherence_linear"": -0.2317381549107165, ""log_fidelity"": -0.5589357278997203, ""log_idle_excitation"": -0.0, ""move_batches"": 67.0, ""move_time_us"": 8176.08791803975, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 136.0, ""valid"": 3}",True
zac18,ghz_n23,0c57c9a79d2a187a90c2266ec22ad092f7f0ef573557f51b42f136c4db7f5afd,23,45,22,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7368331239440451, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.09204603068968516, ""log_coherence_linear"": -0.08956986234580003, ""log_fidelity"": -0.3053938385585491, ""log_idle_excitation"": -0.0, ""move_batches"": 44.0, ""move_time_us"": 4736.660876789556, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 92.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7245465138151905, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.09204603068968516, ""log_coherence_linear"": -0.10638534180626084, ""log_fidelity"": -0.32220931801901, ""log_idle_excitation"": -0.0, ""move_batches"": 44.0, ""move_time_us"": 4736.660876789558, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 92.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.7408906851696411, ""fidelity_valid"": 3, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.08804402935535102, ""log_coherence_linear"": -0.08808021307807924, ""log_fidelity"": -0.2999021879564942, ""log_idle_excitation"": -0.0, ""move_batches"": 43.0, ""move_time_us"": 4637.275591391364, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 88.0, ""valid"": 3}",True
zac18,ghz_n40_transpiled,1cded85e597f91b012b3e0ba0ccaf6041a86ed2304877b02eb30beef19006f8d,40,79,39,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.501681585741194, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.1600800533733655, ""log_coherence_linear"": -0.310516911687725, ""log_fidelity"": -0.689789651890475, ""log_idle_excitation"": -0.0, ""move_batches"": 78.0, ""move_time_us"": 9616.665665710747, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 160.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.48425416335648536, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.16808405604203377, ""log_coherence_linear"": -0.3378686363252383, ""log_fidelity"": -0.7251453791966567, ""log_idle_excitation"": -0.0, ""move_batches"": 79.0, ""move_time_us"": 8661.075866740908, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 168.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.4979103284087543, ""fidelity_valid"": 3, ""idle_exposures"": 1.0, ""log_atom_transfer"": -0.15607805203903136, ""log_coherence_linear"": -0.3195614125205528, ""log_fidelity"": -0.6973352816070872, ""log_idle_excitation"": -0.002503130218118477, ""move_batches"": 77.0, ""move_time_us"": 9951.673640154344, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 156.0, ""valid"": 3}",True
zac18,ghz_n78_transpiled,173203497ff0bf9e285e83d9eaba591c4bedfc0b78370ddde335d2dfe90c4943,78,155,77,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.1459971492441792, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.3321661107497334, ""log_coherence_linear"": -1.159529375631278, ""log_fidelity"": -1.92416818318923, ""log_idle_excitation"": -0.0, ""move_batches"": 154.0, ""move_time_us"": 17905.88712235583, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 332.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.1232831997275635, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.3321661107497334, ""log_coherence_linear"": -1.3286323257883803, ""log_fidelity"": -2.0932711333463327, ""log_idle_excitation"": -0.0, ""move_batches"": 157.0, ""move_time_us"": 17414.410732800065, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 332.0, ""valid"": 1}","{""N"": 3, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.14584129698424558, ""fidelity_valid"": 3, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.31615810541239686, ""log_coherence_linear"": -1.1766054532309487, ""log_fidelity"": -1.9252362554515645, ""log_idle_excitation"": -0.0, ""move_batches"": 153.0, ""move_time_us"": 18382.315326242075, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""success""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 316.0, ""valid"": 3}",True
zac18,ising_n42,24ea0070b6bfe3a37d44ff0cff0d0f5527dd49518a58af57b394bd775bcaab65,42,144,82,"{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.37227377657870325, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.24812408272871653, ""log_coherence_linear"": -0.28576674329314394, ""log_fidelity"": -0.9881257368487788, ""log_idle_excitation"": -0.0, ""move_batches"": 22.0, ""move_time_us"": 3115.630741536924, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 248.0, ""valid"": 1}","{""N"": 1, ""complete"": true, ""complete_fidelity"": true, ""fidelity"": 0.38530720829738546, ""fidelity_valid"": 1, ""idle_exposures"": 0.0, ""log_atom_transfer"": -0.25212608406305065, ""log_coherence_linear"": -0.2473533243625765, ""log_fidelity"": -0.9537143192525456, ""log_idle_excitation"": -0.0, ""move_batches"": 9.0, ""move_time_us"": 1588.335052109081, ""seed_status"": [{""seed"": 0, ""status"": ""success""}], ""transfers"": 252.0, ""valid"": 1}","{""N"": 3, ""complete"": false, ""complete_fidelity"": false, ""fidelity"": 0.4123057691641012, ""fidelity_valid"": 2, ""idle_exposures"": 1.0, ""log_atom_transfer"": -0.14007004670169482, ""log_coherence_linear"": -0.28918195898377186, ""log_fidelity"": -0.8859900467305035, ""log_idle_excitation"": -0.002503130218118477, ""move_batches"": 27.0, ""move_time_us"": 3391.7921372055757, ""seed_status"": [{""seed"": 0, ""status"": ""success""}, {""seed"": 1, ""status"": ""timeout""}, {""seed"": 2, ""status"": ""success""}], ""transfers"": 140.0, ""valid"": 2}",False
