dataset,canonical_sha256,circuits,baseline_method,baseline_transfers,default_transfers,delta_transfers,baseline_idle_exposures,default_idle_exposures,delta_idle_exposures,baseline_log_atom_transfer,default_log_atom_transfer,delta_log_atom_transfer,baseline_log_idle_excitation,default_log_idle_excitation,delta_log_idle_excitation,baseline_log_coherence_linear,default_log_coherence_linear,delta_log_coherence_linear
qmap154,012b9e9f7ae5656aefa02b50a70cdc55461c1dc41c9fed19de9b1e8eb288a0ae,"[""4gt11_84""]",M1,40.0,26.0,-14.0,0.0,5.0,5.0,-0.040020013343341376,-0.026013008673171894,0.014007004670169482,0.0,-0.012515651090592385,-0.012515651090592385,-0.007241811046984918,-0.004711614973677119,0.0025301960733077984
qmap154,012b9e9f7ae5656aefa02b50a70cdc55461c1dc41c9fed19de9b1e8eb288a0ae,"[""4gt11_84""]",M2,40.0,26.0,-14.0,0.0,5.0,5.0,-0.040020013343341376,-0.026013008673171894,0.014007004670169482,0.0,-0.012515651090592385,-0.012515651090592385,-0.007546331249003319,-0.004711614973677119,0.0028347162753261995
qmap154,02ff18ecd3cbf5d461bcd36200261de37bb114a1b24a49eed03d37f500b7c215,"[""4gt5_76""]",M1,180.0,128.0,-52.0,0.0,25.0,25.0,-0.1800900600450362,-0.1280640426986924,0.052026017346343795,0.0,-0.06257825545296192,-0.06257825545296192,-0.0333080963701009,-0.027656930196321615,0.005651166173779282
qmap154,02ff18ecd3cbf5d461bcd36200261de37bb114a1b24a49eed03d37f500b7c215,"[""4gt5_76""]",M2,180.0,128.0,-52.0,0.0,25.0,25.0,-0.1800900600450362,-0.1280640426986924,0.052026017346343795,0.0,-0.06257825545296192,-0.06257825545296192,-0.034045889544781056,-0.027656930196321615,0.0063889593484594415
qmap154,040d1773bb1501d1f86ca2d9028bed22e4dbfe9728922474bce44a5531b21b5a,"[""majority_239""]",M1,1108.0,768.0,-340.0,0.0,175.0,175.0,-1.108554369610556,-0.7683842561921543,0.34017011341840164,0.0,-0.4380477881707335,-0.4380477881707335,-0.3174490816281732,-0.2448113252435472,0.072637756384626
qmap154,040d1773bb1501d1f86ca2d9028bed22e4dbfe9728922474bce44a5531b21b5a,"[""majority_239""]",M2,1108.0,768.0,-340.0,0.0,175.0,175.0,-1.108554369610556,-0.7683842561921543,0.34017011341840164,0.0,-0.4380477881707335,-0.4380477881707335,-0.30730547017413845,-0.2448113252435472,0.062494144930591244
qmap154,081979fd7492baf5b800ab2ecf9a40368544e0b330c139e248e5342892ed469a,"[""qe_qft_4""]",M1,56.0,44.0,-12.0,0.0,0.0,0.0,-0.05602801868067792,-0.04402201467767551,0.012006004003002411,0.0,0.0,0.0,-0.011815924389093936,-0.010050338551677064,0.001765585837416872
qmap154,081979fd7492baf5b800ab2ecf9a40368544e0b330c139e248e5342892ed469a,"[""qe_qft_4""]",M2,56.0,44.0,-12.0,0.0,0.0,0.0,-0.05602801868067792,-0.04402201467767551,0.012006004003002411,0.0,0.0,0.0,-0.010785944230970734,-0.010050338551677064,0.0007356056792936702
qmap154,0a0d73bbac4f2706db89eac74c34669b900537059d81b0bf2094c7f97d0304a3,"[""one-two-three-v0_98""]",M1,264.0,184.0,-80.0,0.0,43.0,43.0,-0.2641320880660531,-0.18409206137937031,0.08004002668668278,0.0,-0.1076345993790945,-0.1076345993790945,-0.053261769225394134,-0.03794777508541536,0.015313994139978776
qmap154,0a0d73bbac4f2706db89eac74c34669b900537059d81b0bf2094c7f97d0304a3,"[""one-two-three-v0_98""]",M2,268.0,184.0,-84.0,0.0,43.0,43.0,-0.2681340894003872,-0.18409206137937031,0.08404202802101687,0.0,-0.1076345993790945,-0.1076345993790945,-0.05130648880135913,-0.03794777508541536,0.01335871371594377
qmap154,0d21004070d0a6614961fe081dffc6b68f22d145e1bac2b93deac3a6cbd14dbf,"[""rd32_270""]",M1,148.0,96.0,-52.0,0.0,25.0,25.0,-0.1480740493703631,-0.09604803202401929,0.052026017346343795,0.0,-0.06257825545296192,-0.06257825545296192,-0.029397234500245402,-0.02160363435514187,0.007793600145103531
qmap154,0d21004070d0a6614961fe081dffc6b68f22d145e1bac2b93deac3a6cbd14dbf,"[""rd32_270""]",M2,148.0,96.0,-52.0,0.0,25.0,25.0,-0.1480740493703631,-0.09604803202401929,0.052026017346343795,0.0,-0.06257825545296192,-0.06257825545296192,-0.02968070668140657,-0.02160363435514187,0.0080770723262647
qmap154,128f4fc145f17a5c3292150a1026e96555931cd0f863e3eed45c36c456983d23,"[""4mod7-v0_94""]",M1,288.0,196.0,-92.0,0.0,49.0,49.0,-0.2881440960720579,-0.19609806538237273,0.09204603068968514,0.0,-0.12265338068780537,-0.12265338068780537,-0.05541814287418557,-0.041445093871505134,0.013973049002680434
qmap154,128f4fc145f17a5c3292150a1026e96555931cd0f863e3eed45c36c456983d23,"[""4mod7-v0_94""]",M2,288.0,196.0,-92.0,0.0,49.0,49.0,-0.2881440960720579,-0.19609806538237273,0.09204603068968514,0.0,-0.12265338068780537,-0.12265338068780537,-0.05581914166943712,-0.041445093871505134,0.014374047797931985
