benchmark_scale,benchmark_directory,upstream_path,upstream_git_blob,source_sha256,selection_reason,canonical_profile,canonical_status,canonical_error,canonical_sha256,qubits,gates_1q,gates_2q,strict_paired,pairing_reason,fidelity_paired,M1__fidelity,M1__log_fidelity,M1__transfers,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M1__terminal_status,M1__fidelity_ood,M1__seed_policy,M2__fidelity,M2__log_fidelity,M2__transfers,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M2__terminal_status,M2__fidelity_ood,M2__seed_policy,M3__fidelity,M3__log_fidelity,M3__transfers,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M3__terminal_status,M3__fidelity_ood,M3__seed_policy,M3__initial_placement_s,M3__problem_preparation_s,M3__native_search_s,M3__search_kernel_s,M3__return_match_s,M3__forecast_s,M3__result_commit_s,M3__routing_s,M4__fidelity,M4__log_fidelity,M4__transfers,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M4__terminal_status,M4__fidelity_ood,M4__seed_policy,M4__initial_placement_s,M4__problem_preparation_s,M4__native_search_s,M4__search_kernel_s,M4__return_match_s,M4__forecast_s,M4__result_commit_s,M4__routing_s
large,QAOA_3SAT_N10000_p1,large/QAOA_3SAT_N10000_p1/random_QAOA_angles_k3_N10000_p1.qasm,c9643e15a53e564b45c55c2b47b71f1522b9b3a9,cb944ec6871e9855962277ea2ec501813d186067d3f360195228f3c3b1c8c989,sole_qasm,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: repeated rzz operand at line 147961,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,QAOA_3SAT_N1000_p1,large/QAOA_3SAT_N1000_p1/random_QAOA_angles_k3_N1000_p1.qasm,f2d32e089e737304d8466f3ed6f3ffe2af2bb972,58ba3dfb1ad2956e4ac3755af91a4e6f9c8321c7a55c8f9e6032cf32c26253d3,sole_qasm,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: repeated cx operand at line 1400,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,QAOA_3SAT_N100_p100,large/QAOA_3SAT_N100_p100/random_QAOA_angles_k3_N100_p100.qasm,337dff089b615bddab9406930b521104e75313ae,f09189140d02569cebc12db35825e1aba53cfab28f5a98087012808dc46fca14,sole_qasm,qasmbench_standard_expand_v1,canonical_error,QASMBenchCanonicalError: repeated cx operand at line 338,,,,,False,canonical_error,False,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,,,,,,,,0/1,canonical_error,canonical_error,False,not_applicable,,,,,,,,
large,QAOA_3SAT_N100_p1000,large/QAOA_3SAT_N100_p1000,,,no_qasm_source,qasmbench_standard_expand_v1,no_qasm_source,no_qasm_source,,,,,False,no_qasm_source,False,,,,,,,0/1,no_qasm_source,no_qasm_source,False,not_applicable,,,,,,,0/1,no_qasm_source,no_qasm_source,False,not_applicable,,,,,,,0/1,no_qasm_source,no_qasm_source,False,not_applicable,,,,,,,,,,,,,,,0/1,no_qasm_source,no_qasm_source,False,not_applicable,,,,,,,,
large,QV_n100,large/QV_n100/100.qasm,38a263b27f5ad192e10053818fc14fd89dd3169d,5fb6ea3de82da40591d657aa3ef286b8505c1c0a74acb4296a2754a702511d41,sole_qasm,qasmbench_standard_expand_v1,success,,1a791e17b65eb5b7fd1c375c52811caef3d32626ea443250ecac8b032658ec84,100,70000,15000,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,QV_n1000,large/QV_n1000,,,no_qasm_source,qasmbench_standard_expand_v1,no_qasm_source,no_qasm_source,,,,,False,no_qasm_source,False,,,,,,,0/1,no_qasm_source,no_qasm_source,False,not_applicable,,,,,,,0/1,no_qasm_source,no_qasm_source,False,not_applicable,,,,,,,0/1,no_qasm_source,no_qasm_source,False,not_applicable,,,,,,,,,,,,,,,0/1,no_qasm_source,no_qasm_source,False,not_applicable,,,,,,,,
large,QV_n32,large/QV_n32/32.qasm,a007f2b9ba85d9b096c060ea93878c41a0c9ea54,45093e91e2bd96bf140ea664a4a16fa99c7f123648619954fb495603b81e9a8d,sole_qasm,qasmbench_standard_expand_v1,success,,415425d4d9659078ec061ca6c66daaab885ef85e7c820451dd51a8008c46154e,32,7168,1536,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,adder_n118,large/adder_n118/adder_n118_transpiled.qasm,973f36b6063b34f09a2b5fada90d81de6b19ce23,4923d277775d7a6ae6906e8f7bb12663369eb30d3b785d09b61602fe37226094,preferred_transpiled,qasmbench_standard_expand_v1,success,,cb0ba62011ad3f18e23baf5c9e93d840851e467dab52cd552aaa3a6419808e76,118,2991,845,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,adder_n28,large/adder_n28/adder_n28_transpiled.qasm,679ee1a5440b2776a923c14da6ce26199b23090a,49615fb73636f0d10be357ab23ee5195b6f7e3cb661ec81215e1514feb5591be,preferred_transpiled,qasmbench_standard_expand_v1,success,,e48741d9da3fe3d0c4aa267d8d748a044d35f19c3d403cb822c02f6054aff441,28,691,195,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
large,adder_n433,large/adder_n433/adder_n433_transpiled.qasm,a66679f958b6b3f4fde9214e92b9ab7b291f022f,bbca3400ec7bb42b95fe61ad00e9e41e07452b037d5d1cd2ec9e1805b6e7b516,preferred_transpiled,qasmbench_standard_expand_v1,success,,65c134ab202cf9552f658298628694555f0fc2d36ed09f06e512365247d39740,433,11041,3120,False,"invalid_or_missing:M1,M2,M3,M4",False,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,seed0,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,,,,,,,,0/1,incomplete,missing,False,interim_seed0,,,,,,,,
