benchmark_scale,method,official_directories,selected_qasm,canonical_success,no_qasm_source,canonical_error,terminal_success,verified_success,timeout,oom,error,missing,success_rate_selected_qasm,strict_paired_count,fidelity_paired_count,paired_fidelity_log_geomean,paired_fidelity_geomean,paired_transfers_mean,paired_move_batches_mean,paired_move_time_ms_mean,paired_algorithm_time_s_mean,fidelity_baseline_log_geomean,fidelity_method_log_geomean,fidelity_geometric_ratio_vs_Bstar,fidelity_gain_pct,fidelity_wins,fidelity_ties,fidelity_losses,transfers_paired_count,transfers_baseline_mean,transfers_method_mean,transfers_reduction_pct,transfers_wins,transfers_ties,transfers_losses,move_batches_paired_count,move_batches_baseline_mean,move_batches_method_mean,move_batches_reduction_pct,move_batches_wins,move_batches_ties,move_batches_losses,move_time_ms_paired_count,move_time_ms_baseline_mean,move_time_ms_method_mean,move_time_ms_reduction_pct,move_time_ms_wins,move_time_ms_ties,move_time_ms_losses,algorithm_time_s_paired_count,algorithm_time_s_baseline_mean,algorithm_time_s_method_mean,algorithm_time_s_reduction_pct,algorithm_time_s_speedup_vs_M2,algorithm_time_s_wins,algorithm_time_s_ties,algorithm_time_s_losses
small,M1,42,42,37,0,5,0,0,0,0,5,37,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small,M2,42,42,37,0,5,0,0,0,0,5,37,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small,M3,42,42,37,0,5,0,0,0,0,5,37,0.0,0,0,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,,0,0,0
small,M4,42,42,37,0,5,0,0,0,0,5,37,0.0,0,0,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,,0,0,0
medium,M1,25,25,21,0,4,0,0,0,0,4,21,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medium,M2,25,25,21,0,4,0,0,0,0,4,21,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
medium,M3,25,25,21,0,4,0,0,0,0,4,21,0.0,0,0,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,,0,0,0
medium,M4,25,25,21,0,4,0,0,0,0,4,21,0.0,0,0,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,,0,0,0
large,M1,70,64,51,6,13,0,0,0,0,13,51,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large,M2,70,64,51,6,13,0,0,0,0,13,51,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
large,M3,70,64,51,6,13,0,0,0,0,13,51,0.0,0,0,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,,0,0,0
large,M4,70,64,51,6,13,0,0,0,0,13,51,0.0,0,0,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,0,0,0,0,,,,,0,0,0
