circuit,qubits,gates_1q,gates_2q,M1__fidelity,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M2__fidelity,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M3__fidelity,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M4__fidelity,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M3__initial_placement_s,M3__transition_decision_s,M3__problem_preparation_s,M3__search_kernel_s,M3__result_commit_s,M3__transition_residual_s,M3__routing_s,M3__return_match_s,M3__forecast_s,M4__initial_placement_s,M4__transition_decision_s,M4__problem_preparation_s,M4__search_kernel_s,M4__result_commit_s,M4__transition_residual_s,M4__routing_s,M4__return_match_s,M4__forecast_s
整体汇总,,,,0.004515667327248357,751.8032786885246,72.8341007895338,11.465840985,133/154,共同线性F=122,0.004519242052737885,745.4098360655738,72.38970877713277,0.12265805981967214,154/154,共同线性F=122,0.004373566492203526,748.0573770491803,79.59999181981696,8.310042107926229,152/154,共同线性F=122,0.005674260277188296,557.4098360655738,57.20702112741019,19.012152323409836,153/154,共同线性F=122,2.5058560960081966,5.6518000805573765,0.732901165532787,3.800035416590164,1.0611413486393442,0.05772214979508197,0.08471194836065574,0.014803916213114754,0.002441701204918033,2.5162943538442626,16.36644491640164,0.7446180328688524,14.519450530590163,1.041455303262295,0.06092104968032787,0.06419405386885246,0.010637201254098361,3.333843225352459
0410184_169,14,182,102,0.2927648793259374,163.0,16.381224431274426,9.210951417,1/1,success,0.29442010782334455,153.0,15.114007849593468,0.026020458,1/1,success,0.28792019274514086,164.0,19.26785718225081,3.936115292,1/1,success,0.29579207875674596,132.0,14.944989385929697,24.808442375,1/1,success,2.143371833,1.748508666,0.141110791,1.393631251,0.178053792,0.035712832,0.015535355,0.009756855,0.00157603,2.128522333,22.638047583,0.145210129,22.293913456,0.163044043,0.035879955,0.012477398,0.012650386,4.402913525
3_17_13,3,32,17,0.8433764659529815,32.0,2.9705321772823017,3.978931208,1/1,success,0.8432999040450452,32.0,3.0158104309251663,0.00580625,1/1,success,0.8461314295919721,31.0,3.3199314343323936,1.538713,1/1,success,0.8416220248507202,19.0,1.8302910508081474,2.008650416,1/1,success,1.333610583,0.183180375,0.016342251,0.112278291,0.0243825,0.030177333,0.002221346,0.000702537,0.000327819,1.340271958,0.646619667,0.017719125,0.560798791,0.037198166,0.030903585,0.00169754,0.00043821,0.194277388
4_49_16,5,175,97,0.3607040729572892,181.0,17.029227268008214,8.073223792,1/1,success,0.35922801207528,179.0,16.810345987514996,0.029534292,1/1,success,0.36808440715402824,181.0,17.262455880151567,3.271348875,1/1,success,0.35582364418098095,127.0,13.31963163281929,10.001586042,1/1,success,2.10149075,1.114152208,0.118589922,0.807705955,0.152508835,0.035347496,0.025970697,0.004762756,0.00193827,2.127915667,7.833656292,0.137179002,7.494230081,0.164844251,0.037402958,0.010228634,0.003984662,2.385727297
4gt10-v1_81,5,124,66,0.5001153174664597,122.0,11.490431948238246,8.863709958,1/1,success,0.5001419293993478,120.0,11.370636327242407,0.020105916,1/1,success,0.5033486025092224,124.0,12.128005849850378,3.1019565,1/1,success,0.4918456355303221,88.0,9.409287024188574,7.675905167,1/1,success,2.259713833,0.807300333,0.083703996,0.588234916,0.10199946,0.033361961,0.009331942,0.00339226,0.001268265,2.283669292,5.357720792,0.098451712,5.116284582,0.108056039,0.034928459,0.007015944,0.002983254,1.638616927
4gt11_82,5,27,16,0.8561290257016672,24.0,2.391354506511963,6.16387825,1/1,success,0.8564968399606243,22.0,2.21077251335491,0.005399292,1/1,success,0.8615120290696869,22.0,2.3464116170595712,1.969927458,1/1,success,0.8589584577164673,19.0,1.9123773748582136,2.696460959,1/1,success,1.751930417,0.196782666,0.017248252,0.128476416,0.020687376,0.030370622,0.001785517,0.00065356,0.000244156,1.841076667,0.833381833,0.018615875,0.761332209,0.022351376,0.031082373,0.00169301,0.000748416,0.261007636
4gt11_83,5,23,14,0.8739675915268008,22.0,2.1687980294939018,5.429347042,1/1,success,0.8735559737657692,22.0,2.2058460611385438,0.004977,1/1,success,0.8777118536969363,21.0,2.0750361432223308,1.816419458,1/1,success,0.8749111351800528,16.0,1.604994525301593,2.234273791,1/1,success,1.638166375,0.156951792,0.015206792,0.092896209,0.018409916,0.030438875,0.001591921,0.00048179,0.000241082,1.62916775,0.58289675,0.015474544,0.518355415,0.01802621,0.031040581,0.001300573,0.00038768,0.176111916
4gt11_84,5,18,9,0.9068524593392224,16.0,1.592934349834719,3.809102625,1/1,success,0.9065763464882078,16.0,1.6317954108998247,0.003164542,1/1,success,0.9128891715896745,14.0,1.4900430724014253,1.496302792,1/1,success,0.9105067545721256,11.0,1.1460869877163888,1.642161875,1/1,success,1.358913125,0.116567042,0.01003275,0.04983679,0.026002208,0.030695294,0.001252413,0.000294213,0.000149453,1.325284125,0.296453667,0.022882792,0.232723041,0.011166168,0.029681666,0.000906944,0.000224298,0.077688093
4gt12-v0_86,6,208,114,0.30387720135344487,192.0,18.237367623343935,10.515190833,1/1,success,0.3036772767242913,192.0,18.295034934455874,0.032615,1/1,success,0.30716656205664356,193.0,19.31582831620158,3.921939917,1/1,success,0.29827133548363616,141.0,15.200564275668418,14.153117875,1/1,success,2.551420042,1.3124535,0.140046294,0.964108454,0.172933047,0.035365705,0.027824163,0.005331975,0.00204116,2.571028625,11.539446125,0.156343704,11.163407627,0.182373828,0.037320966,0.011980057,0.004532254,3.166439763
4gt12-v0_87,6,206,112,0.3086439897431713,190.0,18.032177605980642,10.510592709,1/1,success,0.30851034937475985,190.0,18.086582359037255,0.030494042,1/1,success,0.3100062065143786,196.0,20.363936980118577,4.028089375,1/1,success,0.30354925931637433,137.0,14.601689293413372,13.697918666,1/1,success,2.551382083,1.417745958,0.124671207,1.084560086,0.173210997,0.035303668,0.027974606,0.005168002,0.002048126,2.570927042,11.084809292,0.137817914,10.73067588,0.178303,0.038012498,0.011736631,0.0044334,2.99922051
