circuit,qubits,gates_1q,gates_2q,M1__fidelity,M1__move_batches,M1__move_time_ms,M1__algorithm_time_s,M1__valid_over_N,M1__status,M2__fidelity,M2__move_batches,M2__move_time_ms,M2__algorithm_time_s,M2__valid_over_N,M2__status,M3__fidelity,M3__move_batches,M3__move_time_ms,M3__algorithm_time_s,M3__valid_over_N,M3__status,M4__fidelity,M4__move_batches,M4__move_time_ms,M4__algorithm_time_s,M4__valid_over_N,M4__status,M3__initial_placement_s,M3__transition_decision_s,M3__problem_preparation_s,M3__search_kernel_s,M3__result_commit_s,M3__transition_residual_s,M3__routing_s,M3__return_match_s,M3__forecast_s,M4__initial_placement_s,M4__transition_decision_s,M4__problem_preparation_s,M4__search_kernel_s,M4__result_commit_s,M4__transition_residual_s,M4__routing_s,M4__return_match_s,M4__forecast_s
整体汇总,,,,0.27080608770157466,94.55555555555556,10.82959946857917,12.817378483611112,18/18,共同线性F=18,0.2670025125521672,83.72222222222223,10.00386090933819,0.07085430549999999,18/18,共同线性F=18,0.28485127164115126,95.88888888888889,11.98360853006328,3.8508851991111115,18/18,共同线性F=18,0.2946746405023956,81.27777777777777,10.224209248583742,31.432857305499997,18/18,共同线性F=18,2.6997623218888886,1.1062769908333334,0.1493696085,0.7613907802222222,0.14705634733333334,0.04846025477777778,0.01959051038888889,0.0027782653333333334,0.0005247764444444445,2.697039497611111,28.693762486111112,0.14086905272222222,28.357381793944445,0.1464587618888889,0.049052877555555555,0.016241616777777777,0.010012051722222222,10.17246150038889
bv_n14,14,29,13,0.8450728175261345,26.0,2.768637261521812,5.0658735,1/1,success,0.8449694367086806,26.0,2.781709238336421,0.005396,1/1,success,0.8492257722841351,25.0,2.6681545391722414,1.56988575,1/1,success,0.8492499463115744,25.0,2.6651128221778557,2.406402875,1/1,success,1.428561625,0.120345292,0.018257125,0.050503294,0.021882207,0.029702666,0.002030134,0.000408582,6.7208e-05,1.440742166,0.943252042,0.018641459,0.869277749,0.024162083,0.031170751,0.002137899,0.000751483,0.425643065
bv_n19,19,39,18,0.7774546085489721,37.0,3.9451610014409426,5.224954666,1/1,success,0.7787687016761891,36.0,3.8123435303917854,0.006245334,1/1,success,0.782488796391518,35.0,3.7491349104128604,1.639913959,1/1,success,0.7825096673937727,35.0,3.747037094751657,3.068901208,1/1,success,1.449311834,0.167593667,0.027509707,0.07515875,0.033447876,0.031477334,0.003030539,0.00056141,9.2508e-05,1.451501959,1.592546291,0.028128208,1.495465042,0.03749454,0.031458501,0.003100395,0.001101008,0.772629256
bv_n30,30,39,18,0.7422332160838934,37.0,4.065852772306838,3.400071042,1/1,success,0.7413474845235002,36.0,4.125315297348518,0.006020833,1/1,success,0.7483576077531813,35.0,3.8539080872106677,1.377062792,1/1,success,0.7483576077531813,35.0,3.8539080872106677,3.484235167,1/1,success,1.168339792,0.185186166,0.029405915,0.077138917,0.035026875,0.043614459,0.003237009,0.000588054,9.6138e-05,1.172225666,2.287416833,0.029663209,2.172605166,0.038570751,0.046577707,0.003264427,0.001101579,0.93566786
bv_n70,70,75,36,0.38134576195499925,73.0,9.053145654620213,3.052827208,1/1,success,0.38822880670334686,76.0,8.452663978587909,0.012428708,1/1,success,0.3810577097146105,72.0,9.31175097816704,1.676957791,1/1,success,0.3775367331081053,75.0,9.333590220801213,12.779033209,1/1,success,1.125478542,0.518984125,0.091613419,0.260718666,0.118768,0.04788404,0.009168863,0.001211927,0.000151011,1.124514583,11.619948334,0.083702162,11.368362123,0.117029294,0.050854755,0.010097742,0.002744264,5.929724978
cat_n22,22,43,21,0.748958679252337,43.0,4.597827401074167,6.419371708,1/1,success,0.7387287737394874,42.0,4.49171336731659,0.007379667,1/1,success,0.7529690518541693,41.0,4.5041918537583046,2.024297084,1/1,success,0.754284567972137,41.0,4.3856104961883045,3.920941375,1/1,success,1.722658417,0.275803542,0.054124664,0.145861083,0.043619,0.032198795,0.003706932,0.000734593,0.000574737,1.709123458,2.18606,0.048094749,2.060501961,0.045256664,0.032206626,0.003801346,0.00127127,1.006791837
cat_n35,35,69,34,0.5695901026084134,69.0,8.173568870814856,6.795634292,1/1,success,0.5536180242396278,69.0,7.499440107743308,0.01095925,1/1,success,0.5772349678352852,69.0,7.6058402670395875,2.314038042,1/1,success,0.5718173093308323,67.0,8.17608791803975,6.359784666,1/1,success,1.766205292,0.518268917,0.074539126,0.314240707,0.083007918,0.046481166,0.006654263,0.00116491,0.000808102,1.758026625,4.571932042,0.068735415,4.368369834,0.087111665,0.047715128,0.006563187,0.002152557,2.127891622
ghz_n23,23,45,22,0.7368331239440451,44.0,4.736660876789556,6.454519041,1/1,success,0.7245465138151905,44.0,4.736660876789558,0.00741425,1/1,success,0.7394968729025424,43.0,4.759607981794707,2.032426666,1/1,success,0.7408906851696411,43.0,4.637275591391364,4.028058291,1/1,success,1.723445625,0.283849292,0.052488206,0.154813918,0.045196294,0.031350874,0.003885269,0.000735836,0.000582193,1.707927541,2.29441025,0.051159916,2.162911501,0.048069998,0.032268835,0.003879786,0.001321171,1.063461812
ghz_n40,40,79,39,0.501681585741194,78.0,9.616665665710746,6.9964025,1/1,success,0.48425416335648536,79.0,8.661075866740909,0.012845083,1/1,success,0.5143380498509751,79.0,8.489770479463473,2.451562917,1/1,success,0.4979103284087543,77.0,9.951673640154343,7.698897458,1/1,success,1.771917792,0.647879459,0.09184125,0.402710583,0.105440499,0.047887127,0.007884026,0.001429663,0.000946023,1.779922667,5.886785292,0.084785997,5.646805498,0.105433253,0.049760544,0.008000374,0.00249005,2.725813724
ghz_n78,78,155,77,0.1459971492441792,154.0,17.905887122355832,7.057706042,1/1,success,0.1232831997275635,157.0,17.414410732800064,0.024515959,1/1,success,0.1550367629684844,155.0,16.767204130043364,3.23208425,1/1,success,0.14584129698424558,153.0,18.382315326242075,24.818828,1/1,success,1.858207792,1.324607166,0.250328752,0.696772167,0.317364793,0.060141454,0.018872738,0.002681158,0.000446604,1.908823792,22.861653583,0.235961082,22.21976142,0.345296502,0.060634579,0.018750906,0.005049799,12.93097336
ising_n42,42,144,82,0.37227377657870325,22.0,3.1156307415369238,7.015470083,1/1,success,0.38530720829738546,9.0,1.588335052109081,0.482522083,1/1,success,0.40894372100715587,32.0,3.5165860706179974,4.270779541,1/1,success,0.4167112109104556,26.0,2.9093396442350077,22.977443708,1/1,success,1.73832225,2.476927917,0.065275584,2.293785958,0.064851917,0.053014458,0.035233498,5.3007e-05,0.000724409,1.745645125,21.192654209,0.060483749,21.023640125,0.052037834,0.056492501,0.013345242,0.000354,0.448110098
ising_n98,98,340,194,0.049496194479219977,23.0,3.233372953759612,7.162497625,1/1,success,0.05363457365495845,12.0,1.8551067823772556,0.461788125,1/1,success,0.05322334869409505,59.0,6.300089451550492,3.466547042,1/1,success,0.055293983060508846,55.0,5.819870945784367,77.406521916,1/1,success,1.876650375,1.480445125,0.224803375,0.886476459,0.274432749,0.094732542,0.084536076,4.1502e-05,0.000423878,1.860562917,75.4415675,0.215000667,74.872680375,0.259025584,0.094860874,0.079366207,0.00051461,6.15687449
knn_n31,31,152,105,0.2162922576669984,157.0,16.400736721031986,8.560572916,1/1,success,0.21664450482767328,149.0,15.477797136000246,0.068062125,1/1,success,0.21228299628824215,162.0,18.344710937054753,3.731113042,1/1,success,0.2124302490126658,132.0,15.125113943462242,24.633634875,1/1,success,1.977255542,1.701704042,0.203258251,1.213346502,0.224605833,0.060493456,0.020754337,0.016859034,0.000458884,2.001439458,22.585594041,0.177434088,22.116337667,0.231912123,0.059910163,0.017226219,0.094022559,3.62298458
multiply_n13,13,53,40,0.6368179773441586,67.0,7.328826981694516,10.038398,1/1,success,0.6303930207395078,54.0,6.4933616898916835,0.00913725,1/1,success,0.6549289684081266,52.0,5.685759310594846,2.743793375,1/1,success,0.6490486270265224,45.0,5.222977336197841,11.478034167,1/1,success,2.326707041,0.390039083,0.045854751,0.261727499,0.050331085,0.032125748,0.005357981,0.00099079,0.000127725,2.31152475,9.1391195,0.046228667,9.010204584,0.049560206,0.033126043,0.00445962,0.001568334,1.52479355
qft_n18,18,324,306,0.06832578106574735,177.0,20.31817476446989,50.655991125,1/1,success,0.06403900461197844,148.0,20.288537609290934,0.036169666,1/1,success,0.07228149253239255,200.0,31.95191009219373,10.3145,1/1,success,0.08551213959966704,162.0,23.173599068034115,119.802864459,1/1,success,8.6922955,1.5570125,0.348642498,0.899072378,0.257816962,0.051480662,0.033768654,0.000874411,0.000400194,8.740040375,110.997742,0.331349085,110.348390329,0.263047838,0.054954748,0.029903889,0.003555082,37.769462562
qft_n29,29,709,680,0.00129813657994704,381.0,46.35983813261894,71.3858325,1/1,success,0.0013590169790240652,284.0,40.51588185677209,0.069042875,1/1,success,0.002039524167360999,398.0,58.58772652449446,15.387995583,1/1,success,0.0036573958268649965,219.0,35.60741179912787,183.027634292,1/1,success,11.898441709,3.362373833,0.782954459,1.869550417,0.636693826,0.073175131,0.081281424,0.001571773,0.000899376,11.765760667,171.161009417,0.732690784,169.769855876,0.59051038,0.067952377,0.058714867,0.005344718,95.263619469
seca_n11,11,105,80,0.43057704813787323,109.0,11.27992184091798,10.285368291,1/1,success,0.429551707583817,80.0,10.145655889909369,0.015409875,1/1,success,0.4426790355551814,80.0,7.95083565064839,5.432534042,1/1,success,0.41718708829468276,89.0,10.411934609042518,33.422191542,1/1,success,2.355281917,3.043106417,0.104086248,2.811745834,0.091378539,0.035895796,0.00936532,0.003702566,0.001560249,2.366678167,31.021761625,0.105444418,30.783969125,0.098082875,0.034265207,0.008904696,0.004434001,4.034955628
swap_test_n25,25,122,84,0.3109694926742771,133.0,14.114859496635708,8.573803583,1/1,success,0.31916434193060306,121.0,12.259246676641183,0.027998708,1/1,success,0.32160804577747276,130.0,13.533381280863061,3.126559167,1/1,success,0.3158541486593569,107.0,11.728714703030436,13.651128416,1/1,success,1.998912291,1.085645958,0.14569129,0.730551997,0.158420379,0.050982292,0.015551329,0.015765738,0.00032152,1.986683708,11.624115583,0.147079958,11.261802543,0.162488164,0.052744918,0.013177872,0.051491994,2.691871405
wstate_n27,27,105,52,0.475441363307556,72.0,7.918022175124564,6.567518583,1/1,success,0.42156847197278763,85.0,9.470240679040502,0.012041708,1/1,success,0.49423019888866876,59.0,8.124390996059082,2.523882541,1/1,success,0.49201002020584367,77.0,8.904193228635759,10.826895875,1/1,success,1.717728458,0.773213334,0.077978333,0.560858915,0.0847295,0.049646586,0.008310795,0.000633822,0.000765217,1.715567333,9.080156208,0.071059336,8.881931373,0.08116796,0.045997539,0.007654428,0.000948452,3.673037711
