dataset,circuit,strict_paired,baseline_method,baseline_log_fidelity,baseline_fidelity,M4_log_fidelity,M4_fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M4_valid_over_N
zac18,bv_n14_transpiled,True,M1,-0.1683324807506382,0.8450728175261345,-0.16340173516008066,0.8492499463115744,0.004930745590557534,1.004942921720838,3/3
zac18,bv_n19_transpiled,True,M2,-0.2500411941753283,0.7787687016761891,-0.24524900214731077,0.7825096673937727,0.004792192028017506,1.0048036929444286,3/3
zac18,bv_n30_transpiled,True,M1,-0.298091777808285,0.7422332160838934,-0.2898743300224668,0.7483576077531813,0.008217447785818177,1.00825130368269,3/3
zac18,bv_n70_transpiled,True,M2,-0.9461604051699807,0.38822880670334686,-0.9740874087803668,0.3775367331081053,-0.027927003610386136,0.9724593502320614,3/3
zac18,cat_n22_transpiled,True,M1,-0.28907146487412205,0.748958679252337,-0.28198557107220723,0.754284567972137,0.007085893801914822,1.0071110581495855,3/3
zac18,cat_n35_transpiled,True,M1,-0.5628382950739362,0.5695901026084134,-0.5589357278997203,0.5718173093308323,0.0039025671742158874,1.003910192105199,3/3
zac18,ghz_n23,True,M1,-0.3053938385585491,0.7368331239440451,-0.29990218795649426,0.7408906851696411,0.005491650602054865,1.0055067573562344,3/3
zac18,ghz_n40_transpiled,True,M1,-0.689789651890475,0.501681585741194,-0.6973352816070872,0.4979103284087543,-0.007545629716612212,0.9924827670785086,3/3
zac18,ghz_n78_transpiled,True,M1,-1.92416818318923,0.1459971492441792,-1.9252362554515645,0.14584129698424558,-0.0010680722623344074,0.9989324979238263,3/3
zac18,ising_n42,True,M2,-0.9537143192525456,0.38530720829738546,-0.8753618368828655,0.4167112109104556,0.07835248236968007,1.0815038025160228,3/3
zac18,ising_n98_transpiled,True,M2,-2.925561387972291,0.05363457365495845,-2.89509118178934,0.055293983060508846,0.030470206182950932,1.0309391739780704,3/3
zac18,knn_n31_transpiled,True,M2,-1.529497495402812,0.21664450482767328,-1.5491415844405823,0.2124302490126658,-0.019644089037770263,0.9805475988492778,3/3
zac18,multiply_n13_transpiled,True,M1,-0.4512714140964261,0.6368179773441586,-0.4322476390039374,0.6490486270265224,0.019023775092488704,1.0192058800434178,3/3
zac18,qft_n18_transpiled,True,M1,-2.6834681156087963,0.06832578106574735,-2.4147805892748817,0.08938694922566473,0.2686875263339146,1.3082462846586562,3/3
zac18,qft_n29_transpiled,False,M2,-6.600993650128068,0.0013590169790240652,-5.611003907535768,0.0036573958268649965,,,3/3
