dataset,circuit,status,valid,N,valid_over_N,full_compile_s,initial_placement_s,problem_preparation_s,search_kernel_s,result_commit_s,routing_s,transition_decision_s,return_match_s,forecast_s,return_match_and_forecast_nested_in_search_kernel
zac18,bv_n14_transpiled,success,3,3,3/3,2.462009042,1.467444625,0.019221832,0.893289918,0.024765208,0.002137899,0.969270875,0.000781663,0.437711326,True
zac18,bv_n19_transpiled,success,3,3,3/3,3.129863875,1.488279708,0.04289338,1.499625,0.037292542,0.003237009,1.612362959,0.001144284,0.783933845,True
zac18,bv_n30_transpiled,success,3,3,3/3,3.57709925,1.227312958,0.029663209,2.205530457,0.040374127,0.003264427,2.3248675,0.00112838,0.951902756,True
zac18,bv_n70_transpiled,success,3,3,3/3,13.0481745,1.155440459,0.085384004,11.600142957,0.117139456,0.010097742,11.856871875,0.003035632,6.107630989,True
zac18,cat_n22_transpiled,success,3,3,3/3,3.969236,1.732154208,0.051226832,2.079438583,0.045256664,0.003707409,2.2108125,0.001319393,1.016969257,True
zac18,cat_n35_transpiled,success,3,3,3/3,6.500439583,1.803754375,0.071637208,4.441070168,0.089961414,0.006915808,4.652328916,0.002232332,2.155914154,True
zac18,ghz_n23,success,3,3,3/3,4.113965458,1.744100708,0.05552963,2.169513749,0.049351374,0.003879786,2.3354315,0.001395331,1.069727499,True
zac18,ghz_n40_transpiled,success,3,3,3/3,7.798510875,1.815374834,0.086570831,5.70734221,0.107599749,0.008000374,5.95012125,0.002655951,2.759880881,True
zac18,ghz_n78_transpiled,success,3,3,3/3,25.438271417,1.900668125,0.261228665,22.864707337,0.304867249,0.018706799,23.489394791,0.005691575,13.276928815,True
zac18,ising_n42,success,3,3,3/3,22.977443708,1.791873,0.061808583,21.023640125,0.053933208,0.013724804,21.192654209,0.000433824,0.448110098,True
zac18,ising_n98_transpiled,success,3,3,3/3,77.406521916,1.915475959,0.223398876,74.872680375,0.259025584,0.079366207,75.4415675,0.000669216,5.86383855,True
zac18,knn_n31_transpiled,success,3,3,3/3,24.633634875,2.052313167,0.18452233,22.116337667,0.235395627,0.017927885,22.585594041,0.098399467,3.845490471,True
zac18,multiply_n13_transpiled,success,3,3,3/3,11.295493417,2.362063375,0.061748458,8.761828041,0.05016792,0.00445962,8.906598125,0.001654644,1.52479355,True
zac18,qft_n18_transpiled,success,3,3,3/3,96.448551083,8.786166209,0.331349085,86.983052046,0.240718583,0.023389816,87.606548833,0.003742898,36.163173261,True
zac18,qft_n29_transpiled,success,3,3,3/3,189.829545416,11.932507917,0.732690784,176.425892832,0.587142251,0.060403109,177.780421875,0.006265141,95.263619469,True
zac18,seca_n11_transpiled,success,3,3,3/3,37.621730666,2.396882042,0.102003129,34.950716954,0.092523,0.008208275,35.178071125,0.005104163,4.17883752,True
zac18,swap_test_n25_transpiled,success,3,3,3/3,14.010301667,2.044094791,0.147619418,11.532942666,0.161830498,0.013152838,11.897914,0.052038429,2.693638728,True
zac18,wstate_n27_transpiled,success,3,3,3/3,9.373836542,1.740829375,0.073887334,7.39601275,0.082189121,0.007654428,7.600822792,0.000983492,3.673037711,True
qmap154,0410184_169,success,3,3,3/3,25.781795834,2.219505958,0.156885585,23.143240833,0.169815334,0.013415813,23.519329167,0.013298723,4.402913525,True
qmap154,3_17_13,success,3,3,3/3,2.062239834,1.381309708,0.017551624,0.579254541,0.023490666,0.001509428,0.651264959,0.000468806,0.195027133,True
qmap154,4_49_16,success,3,3,3/3,10.255342958,2.141164417,0.137591959,7.731646715,0.165899494,0.010583162,8.072169125,0.004046264,2.385727297,True
qmap154,4gt10-v1_81,success,3,3,3/3,7.675905167,2.320615708,0.098451712,5.116284582,0.109259128,0.007192612,5.357720792,0.002983254,1.638616927,True
qmap154,4gt11_82,success,3,3,3/3,2.696460959,1.841076667,0.032742585,0.747310706,0.022351376,0.001704216,0.833381833,0.000783664,0.261007636,True
qmap154,4gt11_83,success,3,3,3/3,2.325659333,1.700420625,0.029831084,0.520155292,0.019189834,0.001302481,0.602490291,0.000432257,0.181151093,True
qmap154,4gt11_84,success,3,3,3/3,1.707404541,1.37598725,0.010098374,0.25722575,0.012184084,0.000918627,0.309706,0.000236393,0.08105298,True
qmap154,4gt12-v0_86,success,3,3,3/3,14.189549708,2.603369875,0.157968209,11.163407627,0.184380081,0.011980057,11.539446125,0.004629174,3.117157753,True
qmap154,4gt12-v0_87,success,3,3,3/3,13.772890708,2.625877833,0.15230558,10.73067588,0.180601837,0.01183629,11.084809292,0.004511269,2.99922051,True
qmap154,4gt12-v0_88,success,3,3,3/3,9.521524542,2.39908425,0.122541626,6.782956665,0.140197376,0.009572744,7.081943292,0.003140799,2.250915709,True
qmap154,4gt12-v1_89,success,3,3,3/3,11.335089459,2.317181416,0.142492836,8.60109687,0.168818171,0.010917902,8.950342,0.003891924,2.675750229,True
qmap154,4gt13-v1_93,success,3,3,3/3,3.630387458,1.715249125,0.034577457,1.771692502,0.046069421,0.003206491,1.895361209,0.001076274,0.672248265,True
qmap154,4gt13_90,success,3,3,3/3,5.830561167,2.319090625,0.060221333,3.29624629,0.081319957,0.005779266,3.473570375,0.002379821,1.173836958,True
qmap154,4gt13_91,success,3,3,3/3,5.619805375,2.2960495,0.059628372,3.117371126,0.07836904,0.0054245,3.291253459,0.002065933,1.129471931,True
qmap154,4gt13_92,success,3,3,3/3,4.684378042,1.724653792,0.033893206,2.817506876,0.044138,0.003166914,2.929135833,0.001313313,0.691487575,True
qmap154,4gt4-v0_72,success,3,3,3/3,15.169481416,2.632572875,0.158156129,12.100386042,0.183271123,0.011963606,12.479428459,0.004270123,3.205205391,True
qmap154,4gt4-v0_73,success,3,3,3/3,20.18161325,2.649231667,0.234743329,16.871875629,0.311703079,0.020195484,17.473988417,0.007902452,5.200993038,True
qmap154,4gt4-v0_78,success,3,3,3/3,11.134044667,2.621265416,0.14547475,8.176629624,0.178090503,0.011951208,8.522132375,0.004559253,2.823476203,True
qmap154,4gt4-v0_79,success,3,3,3/3,11.075852917,2.478732042,0.140872837,8.246853039,0.168835916,0.011132002,8.594792791,0.004626333,2.744369507,True
qmap154,4gt4-v0_80,success,3,3,3/3,8.515230083,2.379416166,0.114742828,5.815957581,0.130622632,0.00880146,6.098472125,0.003073304,2.082616458,True
qmap154,4gt4-v1_74,success,3,3,3/3,12.567379041,2.908955834,0.170583332,9.173811045,0.206333584,0.013212919,9.591798333,0.005180522,3.23513934,True
qmap154,4gt5_75,success,3,3,3/3,5.565886125,2.169002667,0.045780541,3.221772832,0.058704668,0.00443244,3.36611025,0.001980535,0.899576178,True
qmap154,4gt5_76,success,3,3,3/3,5.567851916,2.16621775,0.054245501,3.231222166,0.070126335,0.004765987,3.39048725,0.002353793,1.096167483,True
qmap154,4gt5_77,success,3,3,3/3,6.114472541,2.014114,0.071596007,3.857097249,0.091910835,0.006368637,4.056752583,0.002433955,1.4574252,True
qmap154,4mod5-bdd_287,success,3,3,3/3,3.68134625,2.076462167,0.040666209,1.445760956,0.050337001,0.003267765,1.569520041,0.000949915,0.575850442,True
qmap154,4mod5-v0_18,success,3,3,3/3,3.530388583,1.979132417,0.037444622,1.409768378,0.04912533,0.003222227,1.528231583,0.001019254,0.528739898,True
qmap154,4mod5-v0_19,success,3,3,3/3,2.47848425,1.686040417,0.020792499,0.683051294,0.025072162,0.00178051,0.758997333,0.000538862,0.249746689,True
qmap154,4mod5-v0_20,success,3,3,3/3,1.938875875,1.557214541,0.010552958,0.304553502,0.013439,0.001177311,0.359150667,0.000261035,0.083151904,True
qmap154,4mod5-v1_22,success,3,3,3/3,1.995278625,1.541557667,0.011517791,0.36947621,0.015001707,0.001281023,0.434932042,0.000328456,0.103678108,True
qmap154,4mod5-v1_23,success,3,3,3/3,3.705832625,1.990301583,0.038705503,1.570655875,0.048143085,0.003245592,1.689506708,0.00092008,0.584312765,True
qmap154,4mod5-v1_24,success,3,3,3/3,3.396911875,1.704138833,0.019118998,1.591094001,0.024256332,0.001801968,1.666384834,0.00089077,0.298185608,True
qmap154,4mod7-v0_94,success,3,3,3/3,8.218328125,2.182765583,0.098175209,5.753698419,0.113184039,0.007787228,6.000075875,0.003099471,1.711972019,True
qmap154,4mod7-v1_96,success,3,3,3/3,7.238017417,2.1629425,0.0835605,4.795704288,0.111033959,0.007630825,5.024422833,0.002530092,1.784626213,True
qmap154,9symml_195,success,3,3,3/3,55.888255667,4.876986459,2.399055913,38.779132198,4.903669174,2.708081007,46.664366042,0.331505032,1.004656067,True
qmap154,C17_204,success,3,3,3/3,22.831481667,3.257280625,0.297467596,18.767751675,0.366109166,0.022870541,19.490044875,0.008902692,6.24980727,True
qmap154,adr4_197,success,3,3,3/3,31.741815375,4.560626667,2.794429607,20.297475939,3.509173082,0.239976883,26.770851375,0.03414055,1.566931204,True
qmap154,aj-e11_165,success,3,3,3/3,7.119988458,2.351068125,0.082429794,4.625142209,0.108129793,0.007168055,4.848438,0.002246981,1.484337301,True
qmap154,alu-bdd_288,success,3,3,3/3,4.485050083,2.307912417,0.062768876,1.992155039,0.060369749,0.004299164,2.150154208,0.001776208,0.745083712,True
qmap154,alu-v0_26,success,3,3,3/3,4.547005625,2.001998542,0.059970539,2.342862248,0.061026668,0.004213333,2.497176917,0.00168189,0.868263815,True
qmap154,alu-v0_27,success,3,3,3/3,3.028276583,1.862425791,0.019141584,1.069376375,0.024428833,0.001789808,1.158218708,0.000746091,0.289174044,True
qmap154,alu-v1_28,success,3,3,3/3,2.888394542,1.849526167,0.020095792,0.938424208,0.025714918,0.002131701,1.01594125,0.000895258,0.291240293,True
qmap154,alu-v1_29,success,3,3,3/3,3.974311667,1.837473792,0.018322209,2.041129333,0.022713542,0.001793623,2.113818125,0.000735468,0.240115553,True
qmap154,alu-v2_30,success,3,3,3/3,24.302415833,2.91492275,0.292304716,20.538943284,0.40851217,0.024362803,21.300545667,0.009336365,6.350448102,True
qmap154,alu-v2_31,success,3,3,3/3,19.183807292,2.173964083,0.24085792,16.321761835,0.325497698,0.021745682,16.946277875,0.009003968,5.346062452,True
qmap154,alu-v2_32,success,3,3,3/3,8.149438833,2.311576875,0.105860505,5.542765665,0.117415042,0.007934809,5.800923916,0.0030298,1.917262724,True
qmap154,alu-v2_33,success,3,3,3/3,3.135815292,1.877752917,0.01898575,1.151173913,0.023899002,0.001877546,1.225587667,0.000788018,0.299285589,True
qmap154,alu-v3_34,success,3,3,3/3,3.40487925,1.882979666,0.029716001,1.396182749,0.037890541,0.002721071,1.496144833,0.001152242,0.487306914,True
qmap154,alu-v3_35,success,3,3,3/3,3.11009625,1.862941166,0.02052775,1.144065501,0.026361543,0.001936197,1.222607958,0.000826546,0.317400916,True
qmap154,alu-v4_36,success,3,3,3/3,6.700686,2.208225542,0.080023547,4.235942453,0.079746583,0.005151033,4.435210083,0.002731843,1.236878341,True
qmap154,alu-v4_37,success,3,3,3/3,3.17884075,1.947668625,0.020356376,1.127919249,0.025696251,0.00188303,1.2069485,0.000788047,0.314403675,True
qmap154,clip_206,success,3,3,3/3,62.563263334,6.685790625,2.662569488,43.398929357,4.704622788,2.558382988,51.496658,0.400773835,1.141582611,True
qmap154,cm152a_212,success,3,3,3/3,75.319409208,2.788646083,1.04083046,70.145524295,1.257842248,0.064379454,72.451585916,0.026696379,18.686624978,True
qmap154,cm42a_207,success,3,3,3/3,16.401784209,3.3469665,1.420169973,9.714343206,1.737756502,0.112672091,12.9756845,0.014292555,0.77153267,True
qmap154,cm82a_208,success,3,3,3/3,33.723411667,3.135235208,0.422257174,29.411079835,0.570673086,0.031996965,30.462401291,0.013255013,8.78901074,True
qmap154,cm85a_209,success,3,3,3/3,52.253730875,5.16149475,6.421160395,27.768937118,10.913379535,0.869436264,45.608841083,0.099616954,1.248171906,True
qmap154,cnt3-5_179,success,3,3,3/3,15.16435575,2.617600583,0.10889596,12.25915504,0.1061995,0.009780645,12.506462834,0.008887481,3.09356641,True
