dataset,circuit,method,algorithm_time_median_s,algorithm_time_iqr_s,transition_time_median_s,transition_time_iqr_s,valid,N,valid_over_N,strict_complete,status_counts,duplicate_repetitions,unexpected_repetitions
qmap154,4gt11_84,M1,3.824582875,0.02847108349999994,0.00823775,0.00020806249999999818,3,3,3/3,True,"{""success"":3}",0,0
qmap154,4gt11_84,M2,0.003555042,7.600049999999985e-05,0.002794,8.149999999999998e-05,3,3,3/3,True,"{""success"":3}",0,0
qmap154,4gt11_84,M3,1.448829167,0.027494603999999923,0.108502209,0.0025578330000000093,3,3,3/3,True,"{""success"":3}",0,0
qmap154,4gt11_84,M4,1.645756167,0.019705561999999954,0.291018209,0.001866916499999982,3,3,3/3,True,"{""success"":3}",0,0
qmap154,4gt5_76,M1,7.932494417,0.05767441649999938,0.044329584,0.00033306250000000176,3,3,3/3,True,"{""success"":3}",0,0
qmap154,4gt5_76,M2,0.01442475,0.00018927100000000127,0.01348,0.00024000000000000063,3,3,3/3,True,"{""success"":3}",0,0
qmap154,4gt5_76,M3,2.684305792,0.02514691700000027,0.557228792,0.015362187499999957,3,3,3/3,True,"{""success"":3}",0,0
qmap154,4gt5_76,M4,5.28028775,0.08316531250000025,3.177714416,0.052104895499999415,3,3,3/3,True,"{""success"":3}",0,0
qmap154,adr4_197,M1,25.437215167,0.19484368750000414,1.871529292,0.02164510400000008,3,3,3/3,True,"{""success"":3}",0,0
qmap154,adr4_197,M2,0.40343625,0.00435870850000003,0.39664,0.004236500000000032,3,3,3/3,True,"{""success"":3}",0,0
qmap154,adr4_197,M3,23.777742625,0.08764212550000039,18.877582208,0.04526233350000197,3,3,3/3,True,"{""success"":3}",0,0
qmap154,adr4_197,M4,29.134263375,0.23707791650000232,24.31760175,0.23081235399999755,3,3,3/3,True,"{""success"":3}",0,0
qmap154,clip_206,M1,67.199381875,0.5722183750000056,30.0520015,0.13828706249999811,3,3,3/3,True,"{""success"":3}",0,0
