setting,config_sha256,dataset,circuit,seed,status,fidelity,transfers,idle_exposures,move_batches,move_time_us,algorithm_time_s,search_kernel_s,alpha,rho,max_horizon,paired_fidelity_ratio_vs_default,paired_algorithm_time_ratio_vs_default
paper_sensitivity_budget_1152,d9fef7c3d772493af020478ba904057e12c4f5e839d07b84f6f29e5cd0c143d9,qmap154,4gt11_84,0,success,0.9105067545721256,26.0,5,11,1146.0869877163889,1.714104875,0.236341251,0.5,0.7,8,1.0,1.0148807759809986
paper_sensitivity_budget_192,5f771f391025d6a7bc491bccddb2dfef916f3fb5482865c16cd34bb449ab99ed,qmap154,4gt11_84,0,success,0.9105067545721256,26.0,5,11,1146.0869877163889,1.6346105,0.176523208,0.5,0.7,8,1.0,0.9678140450225883
paper_sensitivity_decay_0p2_0p5,699fe8f530cdedce85c353b30df648a4378d5d5a6bf7ecbc3dc56e2448bfc3c5,qmap154,4gt11_84,0,success,0.9105067545721256,26.0,5,11,1146.0869877163889,1.6785735,0.191637457,0.2,0.5,8,1.0,0.9938434929316333
paper_sensitivity_decay_0p35_0p6,ab54110d192bc28277204009c66ff47c3a79510922f99298f9ba112d28fcbcdb,qmap154,4gt11_84,0,success,0.9105067545721256,26.0,5,11,1146.0869877163889,1.746247958,0.244761624,0.35,0.6,8,1.0,1.0339119318298855
paper_sensitivity_default,ff4539cefb5f629c6bafcff8014b54edbfecfb526281b8b08b3db976471de4c6,qmap154,4gt11_84,0,success,0.9105067545721256,26.0,5,11,1146.0869877163889,1.688971666,0.238631416,0.5,0.7,8,1.0,1.0
paper_sensitivity_horizon_2,76461aaa793ef4d8b74b74759162d75254d4e6ca2c7942410854f2d06666d2ea,qmap154,4gt11_84,0,success,0.9105067545721256,26.0,5,11,1146.0869877163889,1.697514958,0.215380833,0.5,0.7,2,1.0,1.0050582802376036
paper_sensitivity_horizon_4,24cd2875935b01541d4f899613d786e78217a2f25a83eda1b9f7313e53eb9241,qmap154,4gt11_84,0,success,0.9105067545721256,26.0,5,11,1146.0869877163889,1.721302,0.23219204,0.5,0.7,4,1.0,1.0191420227176269
paper_sensitivity_return_10_8,08b3a64da1098d617f95ac2899fbd4c67158a2f1c7644896e55c4a76dc219f16,qmap154,4gt11_84,0,success,0.9105067545721256,26.0,5,11,1146.0869877163889,1.835797875,0.362142083,0.5,0.7,8,1.0,1.0869323103256843
paper_sensitivity_return_4_2,2cdd03029b5da420615be8d80d95bff9f2a0f06592d82aac27cc199c49913130,qmap154,4gt11_84,0,success,0.9105054057854315,26.0,5,10,1053.9491624540565,1.651377709,0.187814333,0.5,0.7,8,0.9999985186417483,0.9777415111474108
paper_sensitivity_budget_1152,d9fef7c3d772493af020478ba904057e12c4f5e839d07b84f6f29e5cd0c143d9,qmap154,4gt5_76,0,success,0.6233918072905074,128.0,25,61,6258.492990539773,5.647206042,3.27665296,0.5,0.7,8,1.0,1.0174575495591818
paper_sensitivity_budget_192,5f771f391025d6a7bc491bccddb2dfef916f3fb5482865c16cd34bb449ab99ed,qmap154,4gt5_76,0,success,0.6233918072905074,128.0,25,61,6258.492990539773,4.726172958,2.381025753,0.5,0.7,8,1.0,0.8515149475467908
paper_sensitivity_decay_0p2_0p5,699fe8f530cdedce85c353b30df648a4378d5d5a6bf7ecbc3dc56e2448bfc3c5,qmap154,4gt5_76,0,success,0.6234526292732177,128.0,25,61,6333.7436429558265,4.962749917,2.595046251,0.2,0.5,8,1.0000975662207925,0.8941390365557789
paper_sensitivity_decay_0p35_0p6,ab54110d192bc28277204009c66ff47c3a79510922f99298f9ba112d28fcbcdb,qmap154,4gt5_76,0,success,0.6234526292732177,128.0,25,61,6333.7436429558265,5.215133792,2.875208124,0.35,0.6,8,1.0000975662207925,0.9396110588436015
paper_sensitivity_default,ff4539cefb5f629c6bafcff8014b54edbfecfb526281b8b08b3db976471de4c6,qmap154,4gt5_76,0,success,0.6233918072905074,128.0,25,61,6258.492990539773,5.550311209,3.168937835,0.5,0.7,8,1.0,1.0
paper_sensitivity_horizon_2,76461aaa793ef4d8b74b74759162d75254d4e6ca2c7942410854f2d06666d2ea,qmap154,4gt5_76,0,success,0.6222451063499131,130.0,25,62,6354.44945755095,4.828353208,2.484694499,0.5,0.7,2,0.9981605453790318,0.86992477109584
paper_sensitivity_horizon_4,24cd2875935b01541d4f899613d786e78217a2f25a83eda1b9f7313e53eb9241,qmap154,4gt5_76,0,success,0.6234546195448517,128.0,25,61,6332.791206999455,4.86436575,2.509177835,0.5,0.7,4,1.0001007588704403,0.8764131535745746
