dataset,circuit,variant,fidelity,transfers,idle_exposures,log_coherence_linear,move_batches,move_time_us,algorithm_time_s,valid,N,fidelity_valid,fidelity_N,valid_over_N,status,ga_applicable_boundaries,ga_applicability_source
qmap154,4gt10-v1_81,paper_h0_ga,0.5024860873265677,262.0,0.0,-0.05802289747544285,124.0,13286.799203416767,5.797808291,3,3,3,3,3/3,success,19,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4gt10-v1_81,paper_h8_ga,0.4918456355303221,192.0,43.0,-0.04182635574412587,88.0,9409.287024188574,7.591942625,3,3,3,3,3/3,success,19,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4gt10-v1_81,paper_h8_greedy_only,0.4931264035260183,190.0,43.0,-0.04122673696880338,87.0,9108.34294320367,9.032242708,1,1,1,1,1/1,success,19,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4gt11_84,paper_h0_ga,0.9129030088744804,34.0,0.0,-0.006594939548868943,15.0,1601.6223905585864,1.931576792,3,3,3,3,3/3,success,3,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4gt11_84,paper_h8_ga,0.9105067545721256,26.0,5.0,-0.004711614973677119,11.0,1146.0869877163889,1.730781542,3,3,3,3,3/3,success,3,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4gt11_84,paper_h8_greedy_only,0.9105067545721256,26.0,5.0,-0.004711614973677119,11.0,1146.0869877163889,1.707684042,1,1,1,1,1/1,success,3,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4gt5_76,paper_h0_ga,0.63263480288836,170.0,0.0,-0.033496417689198005,78.0,7543.139143753454,4.372521292,3,3,3,3,3/3,success,17,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4gt5_76,paper_h8_ga,0.6233918072905074,128.0,25.0,-0.02765727596806158,61.0,6258.492990539773,5.572600083,3,3,3,3,3/3,success,17,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4gt5_76,paper_h8_greedy_only,0.6233918072905074,128.0,25.0,-0.02765727596806158,61.0,6258.492990539773,5.425431708,1,1,1,1,1/1,success,17,artifact.compiler_stats.ga_applicable_boundaries
qmap154,4mod7-v0_94,paper_h0_ga,0.48499011597577024,278.0,0.0,-0.05560389612913723,131.0,12522.814994115011,6.084855792,3,3,3,3,3/3,success,18,artifact.compiler_stats.ga_applicable_boundaries
