dataset,circuit,comparison,in_scope,paired_valid,current_variant,reference_variant,current_fidelity,reference_fidelity,delta_logF,fidelity_ratio,current_valid_over_N,reference_valid_over_N,ga_applicable_boundaries,current_transfers,reference_transfers,delta_transfers,current_idle_exposures,reference_idle_exposures,delta_idle_exposures,current_log_coherence_linear,reference_log_coherence_linear,delta_log_coherence_linear,current_move_batches,reference_move_batches,delta_move_batches,current_move_time_us,reference_move_time_us,delta_move_time_us,current_algorithm_time_s,reference_algorithm_time_s,delta_algorithm_time_s
qmap154,4gt10-v1_81,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.4918456355303221,0.5024860873265677,-0.021403034296930024,0.9788243852623718,3/3,3/3,19,192.0,262.0,-70.0,43.0,0.0,43.0,-0.04182635574412587,-0.05802289747544285,0.01619654173131698,88.0,124.0,-36.0,9409.287024188574,13286.799203416767,-3877.5121792281934,7.591942625,5.797808291,1.7941343339999998
qmap154,4gt10-v1_81,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.4918456355303221,0.4931264035260183,-0.00260061944248946,0.9974027592387302,3/3,1/1,19,192.0,190.0,2.0,43.0,43.0,0.0,-0.04182635574412587,-0.04122673696880338,-0.0005996187753224899,88.0,87.0,1.0,9409.287024188574,9108.34294320367,300.94408098490385,7.591942625,9.032242708,-1.4403000830000003
qmap154,4gt11_84,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.9105067545721256,0.9129030088744804,-0.0026283238467322695,0.9973751271722621,3/3,3/3,3,26.0,34.0,-8.0,5.0,0.0,5.0,-0.004711614973677119,-0.006594939548868943,0.0018833245751918234,11.0,15.0,-4.0,1146.0869877163889,1601.6223905585864,-455.5354028421975,1.730781542,1.931576792,-0.2007952500000001
qmap154,4gt11_84,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.9105067545721256,0.9105067545721256,0.0,1.0,3/3,1/1,3,26.0,26.0,0.0,5.0,5.0,0.0,-0.004711614973677119,-0.004711614973677119,0.0,11.0,11.0,0.0,1146.0869877163889,1146.0869877163889,0.0,1.730781542,1.707684042,0.023097499999999993
qmap154,4gt5_76,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.6233918072905074,0.63263480288836,-0.014718099721317046,0.9853896820793722,3/3,3/3,17,128.0,170.0,-42.0,25.0,0.0,25.0,-0.02765727596806158,-0.033496417689198005,0.005839141721136424,61.0,78.0,-17.0,6258.492990539773,7543.139143753454,-1284.646153213681,5.572600083,4.372521292,1.2000787910000001
qmap154,4gt5_76,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.6233918072905074,0.6233918072905074,0.0,1.0,3/3,1/1,17,128.0,128.0,0.0,25.0,25.0,0.0,-0.02765727596806158,-0.02765727596806158,0.0,61.0,61.0,0.0,6258.492990539773,6258.492990539773,0.0,5.572600083,5.425431708,0.14716837500000057
qmap154,4mod7-v0_94,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.47232861436881496,0.48499011597577024,-0.026453551076323523,0.9738932790795517,3/3,3/3,18,196.0,278.0,-82.0,49.0,0.0,49.0,-0.041445093871505134,-0.05560389612913723,0.014158802257632094,92.0,131.0,-39.0,9180.29154638319,12522.814994115011,-3342.523447731821,8.108882417,6.084855792,2.0240266250000003
qmap154,4mod7-v0_94,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.47232861436881496,0.47232861436881496,0.0,1.0,3/3,1/1,18,196.0,196.0,0.0,49.0,49.0,0.0,-0.041445093871505134,-0.041445093871505134,0.0,92.0,92.0,0.0,9180.29154638319,9180.29154638319,0.0,8.108882417,7.85815925,0.2507231670000003
qmap154,9symml_195,H8_vs_H0,True,False,paper_h8_ga,paper_h0_ga,,,,,3/3,3/3,2126,46388.0,61060.0,,12482.0,1247.0,,,,,20602.0,27082.0,,2103165.450424444,2763821.3854714157,,54.686837833,52.725380208,
qmap154,9symml_195,GA_vs_greedy,True,False,paper_h8_ga,paper_h8_greedy_only,,,,,3/3,1/1,2126,46388.0,46408.0,,12482.0,12389.0,,,,,20602.0,20612.0,,2103165.450424444,2102886.236783042,,54.686837833,50.466713084,
qmap154,adr4_197,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,1.4819200519097689e-08,3.323055812989045e-09,1.4950388871374116,4.45950996705289,3/3,3/3,1248,4364.0,5864.0,-1500.0,982.0,221.0,761.0,-2.8416263717706016,-4.79864923601215,1.9570228642415488,1968.0,2680.0,-712.0,200086.7610138077,347455.18486736424,-147368.42385355654,31.335330166,35.298861708,-3.9635315419999984
qmap154,adr4_197,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,1.4819200519097689e-08,1.4522643972761865e-08,0.020214587725060795,1.0204202862021567,3/3,1/1,1248,4364.0,4380.0,-16.0,982.0,983.0,-1.0,-2.8416263717706016,-2.8600752400832175,0.01844886831261583,1968.0,1961.0,7.0,200086.7610138077,199742.8974942304,343.8635195773095,31.335330166,21.155904584,10.179425581999997
qmap154,alu-bdd_288,H8_vs_H0,True,True,paper_h8_ga,paper_h0_ga,0.6551092587702366,0.6595852246369488,-0.006809160937512715,0.9932139688708523,3/3,3/3,8,110.0,156.0,-46.0,26.0,1.0,25.0,-0.0354369526577715,-0.045183031828378184,0.009746079170606686,49.0,70.0,-21.0,5118.132028074075,6774.717721112127,-1656.5856930380523,4.474877333,4.102570583,0.3723067499999999
qmap154,alu-bdd_288,GA_vs_greedy,True,True,paper_h8_ga,paper_h8_greedy_only,0.6551092587702366,0.6551092587702366,0.0,1.0,3/3,1/1,8,110.0,110.0,0.0,26.0,26.0,0.0,-0.0354369526577715,-0.0354369526577715,0.0,49.0,49.0,0.0,5118.132028074075,5118.132028074075,0.0,4.474877333,4.396162375,0.07871495799999995
