dataset,circuit,canonical_sha256,independent_analysis_unit,canonical_cluster_file_N,strict_paired,baseline_method,count_delta_semantics,log_component_delta_semantics,Bstar_transfers,M4_transfers,M4_minus_Bstar_transfers,Bstar_idle_exposures,M4_idle_exposures,M4_minus_Bstar_idle_exposures,Bstar_move_batches,M4_move_batches,M4_minus_Bstar_move_batches,Bstar_move_time_us,M4_move_time_us,M4_minus_Bstar_move_time_us,Bstar_log_atom_transfer,M4_log_atom_transfer,M4_minus_Bstar_log_atom_transfer,Bstar_log_idle_excitation,M4_log_idle_excitation,M4_minus_Bstar_log_idle_excitation,Bstar_log_coherence_linear,M4_log_coherence_linear,M4_minus_Bstar_log_coherence_linear
zac18,bv_n14_transpiled,a9f1ef0f566a3cc1a347e8cb7bf74983b239326618f114a908e46c6e37c67752,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,56.0,52.0,-4.0,0.0,0.0,0.0,26.0,25.0,-1.0,2768.637261521812,2665.112822177856,-103.52443934395615,-0.05602801868067792,-0.05202601734634379,0.004002001334334135,-0.0,-0.0,0.0,-0.03844011310282679,-0.037511368846603374,0.0009287442562234127
zac18,bv_n19_transpiled,ff087c43a47c1c89a5515728dba98c1a8254212cb63163c9c21d361c76c1a6ad,circuit_file,1,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,76.0,72.0,-4.0,0.0,0.0,0.0,36.0,35.0,-1.0,3812.3435303917854,3747.0370947516567,-65.30643564012871,-0.07603802535234862,-0.07203602401801447,0.004002001334334149,-0.0,-0.0,0.0,-0.07207566064810482,-0.07128546995442145,0.0007901906936833708
zac18,bv_n30_transpiled,58a8fb4a501fe149a264a128891f77ec760f078cd053bfd81168637de4c8f191,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,76.0,72.0,-4.0,0.0,0.0,0.0,37.0,35.0,-2.0,4065.852772306838,3853.9080872106674,-211.94468509617036,-0.07603802535234862,-0.07203602401801447,0.004002001334334149,-0.0,-0.0,0.0,-0.12012624428106154,-0.11591079782957751,0.004215446451484028
zac18,bv_n70_transpiled,b0b7114a0df2cf06b93931990669c2490dfc66245eaaed7ea956f3a4fb02967a,circuit_file,1,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,168.0,154.0,-14.0,0.0,6.0,6.0,76.0,75.0,-1.0,8452.663978587909,9333.590220801212,880.9262422133033,-0.16808405604203377,-0.15407705137186428,0.014007004670169493,-0.0,-0.01501878130871086,-0.01501878130871086,-0.5751214678052031,-0.6020366947770479,-0.026915226971844786
zac18,cat_n22_transpiled,db18092cb4f75992883d38c951468535ffe87a4953127995ec4c404b63a4671a,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,88.0,84.0,-4.0,0.0,0.0,0.0,43.0,41.0,-2.0,4597.827401074167,4385.610496188305,-212.21690488586228,-0.08804402935535102,-0.08404202802101689,0.004002001334334135,-0.0,-0.0,0.0,-0.08286212183725532,-0.07977822936967463,0.0030838924675806872
zac18,cat_n35_transpiled,7a6c0868d5e5299bb9152d872b95e55e6b2103d870f99ac53dcbcd1ab6718f7b,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,140.0,136.0,-4.0,0.0,0.0,0.0,69.0,67.0,-2.0,8173.5688708148555,8176.08791803975,2.519047224894166,-0.14007004670169482,-0.13606804536736067,0.004002001334334149,-0.0,-0.0,0.0,-0.23163872075059816,-0.2317381549107165,-9.94341601183446e-05
zac18,ghz_n23,0c57c9a79d2a187a90c2266ec22ad092f7f0ef573557f51b42f136c4db7f5afd,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,92.0,88.0,-4.0,0.0,0.0,0.0,44.0,43.0,-1.0,4736.660876789556,4637.275591391364,-99.38528539819163,-0.09204603068968516,-0.08804402935535102,0.004002001334334135,-0.0,-0.0,0.0,-0.08956986234580003,-0.08808021307807926,0.0014896492677207718
zac18,ghz_n40_transpiled,1cded85e597f91b012b3e0ba0ccaf6041a86ed2304877b02eb30beef19006f8d,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,160.0,156.0,-4.0,0.0,1.0,1.0,78.0,77.0,-1.0,9616.665665710747,9951.673640154344,335.00797444359705,-0.1600800533733655,-0.15607805203903136,0.004002001334334149,-0.0,-0.002503130218118477,-0.002503130218118477,-0.310516911687725,-0.3195614125205528,-0.009044500832827818
zac18,ghz_n78_transpiled,173203497ff0bf9e285e83d9eaba591c4bedfc0b78370ddde335d2dfe90c4943,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,332.0,316.0,-16.0,0.0,0.0,0.0,154.0,153.0,-1.0,17905.88712235583,18382.315326242075,476.42820388624386,-0.3321661107497334,-0.31615810541239686,0.01600800533733654,-0.0,-0.0,0.0,-1.159529375631278,-1.1766054532309487,-0.01707607759967078
zac18,ising_n42,24ea0070b6bfe3a37d44ff0cff0d0f5527dd49518a58af57b394bd775bcaab65,circuit_file,1,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,252.0,140.0,-112.0,0.0,0.0,0.0,9.0,26.0,17.0,1588.335052109081,2909.3396442350077,1321.0045921259266,-0.25212608406305065,-0.14007004670169482,0.11205603736135583,-0.0,-0.0,0.0,-0.2473533243625765,-0.28105687935425233,-0.03370355499167582
zac18,ising_n98_transpiled,69c9ca8c5d772ffa553ccdd9fa59e2f844a8149741d3dc4180a51f3970bffc6c,circuit_file,1,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,584.0,304.0,-280.0,0.0,2.0,2.0,12.0,55.0,43.0,1855.1067823772555,5819.870945784367,3964.7641634071115,-0.584292194812784,-0.30415210140939447,0.2801400934033896,-0.0,-0.005006260436236954,-0.005006260436236954,-1.2668207763312378,-1.5114844031154393,-0.2446636267842015
zac18,knn_n31_transpiled,3f76b58905dfef056646e279e9cb9d21db7c5fa9d04170dcbecd457f91d19faa,circuit_file,1,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,480.0,368.0,-112.0,0.0,74.0,74.0,149.0,132.0,-17.0,15477.797136000247,15129.890892017966,-347.906243982281,-0.4802401601200965,-0.36818412275874063,0.11205603736135589,-0.0,-0.1852316361407673,-0.1852316361407673,-0.4773336024422624,-0.4266180071309333,0.05071559531132913
zac18,multiply_n13_transpiled,8a6d2f76bca6bb915cf3ac1f9aac19a83963cb57ca850c44065a081f61c03370,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,156.0,110.0,-46.0,0.0,19.0,19.0,67.0,45.0,-22.0,7328.826981694516,5222.977336197841,-2105.8496454966744,-0.15607805203903136,-0.11005503669418878,0.04602301534484257,-0.0,-0.04755947414425106,-0.04755947414425106,-0.07878930363851769,-0.058229069746620524,0.020560233891897164
zac18,qft_n18_transpiled,2e218cbc6320c2d4600d37ddf2c65f8befcb1d6f62550cd0367b82b62e99979d,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,648.0,402.0,-246.0,0.0,7.0,7.0,177.0,143.0,-34.0,20318.17476446989,20623.61469965825,305.4399351883585,-0.6483242161621303,-0.40220113410058084,0.24612308206154948,-0.0,-0.017521911526829338,-0.017521911526829338,-0.4040915185254687,-0.3630009036243715,0.04109061490109722
zac18,qft_n29_transpiled,48d487f623d47c5260515f2e6365544ad923bb136bcca45db7434ff32b49c46e,circuit_file,1,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,1484.0,844.0,-640.0,0.0,18.0,18.0,284.0,219.0,-65.0,40515.88185677209,35607.41179912787,-4908.470057644219,-1.484742495037965,-0.844422281544503,0.640320213493462,-0.0,-0.045056343926132586,-0.045056343926132586,-1.4949908036975759,-1.096262929338271,0.3987278743593048
zac18,seca_n11_transpiled,1c0c891f63a8f0f185b77b9ef66ee242bf6387b1e252edb4f19a63461206d9d3,circuit_file,1,True,M1,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,300.0,206.0,-94.0,0.0,57.0,57.0,109.0,71.0,-38.0,11279.92184091798,8128.616290234231,-3151.305550683748,-0.3001501000750603,-0.20610306871820808,0.09404703135685225,-0.0,-0.1426784224327532,-0.1426784224327532,-0.10997082561726582,-0.08122543790487806,0.028745387712387757
zac18,swap_test_n25_transpiled,b1c5bd70a94288185fa82fe0b7255b6824cc2bbcf26a896a1d770cd7041d56c3,circuit_file,1,True,M2,M4 minus strongest-fidelity baseline; negative favorable,M4 minus strongest-fidelity baseline; positive favorable,380.0,282.0,-98.0,0.0,58.0,58.0,121.0,107.0,-14.0,12259.246676641184,11727.545413869935,-531.7012627712484,-0.3801901267617431,-0.2821410940705567,0.09804903269118637,-0.0,-0.14518155265087165,-0.14518155265087165,-0.30419999935261177,-0.26991463729007037,0.0342853620625414
