dataset,analysis_unit,unit_id,canonical_sha256,member_N,circuits,baseline_method,Bstar__log_fidelity,Bstar__fidelity,M4_minus_Bstar_delta_logF,M4_over_Bstar_ratio,M1__log_fidelity,M1__transfers,M1__idle_exposures,M1__move_batches,M1__move_time_us,M1__algorithm_time_s,M1__log_atom_transfer,M1__log_idle_excitation,M1__log_coherence_linear,M1__fidelity,M2__log_fidelity,M2__transfers,M2__idle_exposures,M2__move_batches,M2__move_time_us,M2__algorithm_time_s,M2__log_atom_transfer,M2__log_idle_excitation,M2__log_coherence_linear,M2__fidelity,M4__log_fidelity,M4__transfers,M4__idle_exposures,M4__move_batches,M4__move_time_us,M4__algorithm_time_s,M4__log_atom_transfer,M4__log_idle_excitation,M4__log_coherence_linear,M4__fidelity
zac18,circuit_file,zac18/bv_n14_transpiled,a9f1ef0f566a3cc1a347e8cb7bf74983b239326618f114a908e46c6e37c67752,1,"[""bv_n14_transpiled""]",M1,-0.1683324807506382,0.8450728175261345,0.004930745590557534,1.004942921720838,-0.1683324807506382,56.0,0.0,26.0,2768.637261521812,5.0658735,-0.05602801868067792,0.0,-0.03844011310282679,0.8450728175261345,-0.16845482185462393,56.0,0.0,26.0,2781.709238336421,0.005396,-0.05602801868067792,0.0,-0.03856245420681251,0.8449694367086806,-0.16340173516008066,52.0,0.0,25.0,2665.112822177856,2.462009042,-0.05202601734634379,0.0,-0.037511368846603374,0.8492499463115744
zac18,circuit_file,zac18/bv_n19_transpiled,ff087c43a47c1c89a5515728dba98c1a8254212cb63163c9c21d361c76c1a6ad,1,"[""bv_n19_transpiled""]",M2,-0.2500411941753283,0.7787687016761891,0.004792192028017506,1.0048036929444286,-0.25173001792049726,76.0,0.0,37.0,3945.1610014409425,5.224954666,-0.07603802535234862,0.0,-0.0737644843932738,0.7774546085489721,-0.2500411941753283,76.0,0.0,36.0,3812.3435303917854,0.006245334,-0.07603802535234862,0.0,-0.07207566064810482,0.7787687016761891,-0.24524900214731077,72.0,0.0,35.0,3747.0370947516567,3.129863875,-0.07203602401801447,0.0,-0.07128546995442145,0.7825096673937727
zac18,circuit_file,zac18/bv_n30_transpiled,58a8fb4a501fe149a264a128891f77ec760f078cd053bfd81168637de4c8f191,1,"[""bv_n30_transpiled""]",M1,-0.298091777808285,0.7422332160838934,0.008217447785818177,1.00825130368269,-0.298091777808285,76.0,0.0,37.0,4065.852772306838,3.400071042,-0.07603802535234862,0.0,-0.12012624428106154,0.7422332160838934,-0.29928582362630657,76.0,0.0,36.0,4125.315297348518,0.006020833,-0.07603802535234862,0.0,-0.12132029009908311,0.7413474845235002,-0.2898743300224668,72.0,0.0,35.0,3853.9080872106674,3.57709925,-0.07203602401801447,0.0,-0.11591079782957751,0.7483576077531813
zac18,circuit_file,zac18/bv_n70_transpiled,b0b7114a0df2cf06b93931990669c2490dfc66245eaaed7ea956f3a4fb02967a,1,"[""bv_n70_transpiled""]",M2,-0.9461604051699807,0.38822880670334686,-0.027927003610386136,0.9724593502320614,-0.9640488037022951,160.0,0.0,73.0,9053.145654620213,3.052827208,-0.1600800533733655,0.0,-0.6010138690061858,0.38134576195499925,-0.9461604051699807,168.0,0.0,76.0,8452.663978587909,0.012428708,-0.16808405604203377,0.0,-0.5751214678052031,0.38822880670334686,-0.9740874087803668,154.0,6.0,75.0,9333.590220801212,13.0481745,-0.15407705137186428,-0.01501878130871086,-0.6020366947770479,0.3775367331081053
zac18,circuit_file,zac18/cat_n22_transpiled,db18092cb4f75992883d38c951468535ffe87a4953127995ec4c404b63a4671a,1,"[""cat_n22_transpiled""]",M1,-0.28907146487412205,0.748958679252337,0.007085893801914822,1.0071110581495855,-0.28907146487412205,88.0,0.0,43.0,4597.827401074167,6.419371708,-0.08804402935535102,0.0,-0.08286212183725532,0.748958679252337,-0.30282444334536485,88.0,0.0,42.0,4491.71336731659,0.007379667,-0.08804402935535102,0.0,-0.09661510030849814,0.7387287737394874,-0.28198557107220723,84.0,0.0,41.0,4385.610496188305,3.969236,-0.08404202802101689,0.0,-0.07977822936967463,0.754284567972137
zac18,circuit_file,zac18/cat_n35_transpiled,7a6c0868d5e5299bb9152d872b95e55e6b2103d870f99ac53dcbcd1ab6718f7b,1,"[""cat_n35_transpiled""]",M1,-0.5628382950739362,0.5695901026084134,0.0039025671742158874,1.003910192105199,-0.5628382950739362,140.0,0.0,69.0,8173.5688708148555,6.795634292,-0.14007004670169482,0.0,-0.23163872075059816,0.5695901026084134,-0.5912803169723632,144.0,0.0,69.0,7499.4401077433085,0.01095925,-0.14407204803602894,0.0,-0.256078741314691,0.5536180242396278,-0.5589357278997203,136.0,0.0,67.0,8176.08791803975,6.500439583,-0.13606804536736067,0.0,-0.2317381549107165,0.5718173093308323
zac18,circuit_file,zac18/ghz_n23,0c57c9a79d2a187a90c2266ec22ad092f7f0ef573557f51b42f136c4db7f5afd,1,"[""ghz_n23""]",M1,-0.3053938385585491,0.7368331239440451,0.005491650602054865,1.0055067573562344,-0.3053938385585491,92.0,0.0,44.0,4736.660876789556,6.454519041,-0.09204603068968516,0.0,-0.08956986234580003,0.7368331239440451,-0.32220931801901,92.0,0.0,44.0,4736.660876789558,0.00741425,-0.09204603068968516,0.0,-0.10638534180626084,0.7245465138151905,-0.29990218795649426,88.0,0.0,43.0,4637.275591391364,4.113965458,-0.08804402935535102,0.0,-0.08808021307807926,0.7408906851696411
zac18,circuit_file,zac18/ghz_n40_transpiled,1cded85e597f91b012b3e0ba0ccaf6041a86ed2304877b02eb30beef19006f8d,1,"[""ghz_n40_transpiled""]",M1,-0.689789651890475,0.501681585741194,-0.007545629716612212,0.9924827670785086,-0.689789651890475,160.0,0.0,78.0,9616.665665710747,6.9964025,-0.1600800533733655,0.0,-0.310516911687725,0.501681585741194,-0.7251453791966567,168.0,0.0,79.0,8661.075866740908,0.012845083,-0.16808405604203377,0.0,-0.3378686363252383,0.48425416335648536,-0.6973352816070872,156.0,1.0,77.0,9951.673640154344,7.798510875,-0.15607805203903136,-0.002503130218118477,-0.3195614125205528,0.4979103284087543
zac18,circuit_file,zac18/ghz_n78_transpiled,173203497ff0bf9e285e83d9eaba591c4bedfc0b78370ddde335d2dfe90c4943,1,"[""ghz_n78_transpiled""]",M1,-1.92416818318923,0.1459971492441792,-0.0010680722623344074,0.9989324979238263,-1.92416818318923,332.0,0.0,154.0,17905.88712235583,7.057706042,-0.3321661107497334,0.0,-1.159529375631278,0.1459971492441792,-2.0932711333463327,332.0,0.0,157.0,17414.410732800065,0.024515959,-0.3321661107497334,0.0,-1.3286323257883803,0.1232831997275635,-1.9252362554515645,316.0,0.0,153.0,18382.315326242075,25.438271417,-0.31615810541239686,0.0,-1.1766054532309487,0.14584129698424558
zac18,circuit_file,zac18/ising_n42,24ea0070b6bfe3a37d44ff0cff0d0f5527dd49518a58af57b394bd775bcaab65,1,"[""ising_n42""]",M2,-0.9537143192525456,0.38530720829738546,0.07835248236968007,1.0815038025160228,-0.9881257368487788,248.0,0.0,22.0,3115.630741536924,7.015470083,-0.24812408272871653,0.0,-0.28576674329314394,0.37227377657870325,-0.9537143192525456,252.0,0.0,9.0,1588.335052109081,0.482522083,-0.25212608406305065,0.0,-0.2473533243625765,0.38530720829738546,-0.8753618368828655,140.0,0.0,26.0,2909.3396442350077,22.977443708,-0.14007004670169482,0.0,-0.28105687935425233,0.4167112109104556
