qmap examples 套件（118 个配对案例，同架构同判分）

circuit              q   ZAC us     zzx us   ratio   ZAC fid  zzx fid   mv(Z→z)  pulse  1qS
----------------------------------------------------------------------------------------------------
ex1_226               6     1135.7     1111.2    0.98    0.9470   0.9509    10→9       5   12
graycode6_47          6     1131.1     1111.2    0.98    0.9455   0.9494    10→9       5   12
xor5_254              6     1135.7     1111.2    0.98    0.9470   0.9509    10→9       5   12
4gt11_84              5     1606.1      973.3    0.61    0.9095   0.9278    16→9       8   20
ex-1_166              3     1714.1      990.7    0.58    0.9117   0.9295    18→10      9   20
4mod5-v0_20           5     2144.2     1174.8    0.55    0.8998   0.9189    18→11      9   22
4mod5-v1_22           5     2023.0     1268.3    0.63    0.8916   0.9117    20→12     10   24
ham3_102              3     1715.7      990.0    0.58    0.9122   0.9300    18→10      9   20
mod5d1_63             5     3021.0     1461.8    0.48    0.8657   0.8965    26→14     11   32
4gt11_83              5     2187.0     1603.8    0.73    0.8771   0.8946    22→14     14   24
4mod5-v0_19           5     3119.2     2068.3    0.66    0.8471   0.8740    32→19     16   34
4mod5-v1_24           5     3128.6     1838.8    0.59    0.8440   0.8749    32→18     15   36
mod5mils_65           5     3124.1     2043.3    0.65    0.8471   0.8741    32→19     16   34
rd32-v0_66            4     2313.2     1510.0    0.65    0.8837   0.9051    24→14     12   26
rd32-v1_68            4     2313.8     1510.6    0.65    0.8834   0.9048    24→14     12   26
3_17_13               3     2996.7     1635.1    0.55    0.8462   0.8758    32→17     17   34
alu-v0_27             5     3085.6     1894.7    0.61    0.8328   0.8648    32→18     15   40
alu-v1_29             5     3087.5     2128.7    0.69    0.8328   0.8675    32→18     15   40
alu-v2_33             5     3653.0     1894.1    0.52    0.8312   0.8648    34→18     15   40
4gt11_82              5     2413.0     1710.0    0.71    0.8600   0.8775    24→15     15   28
alu-v1_28             5     3095.6     2143.2    0.69    0.8279   0.8624    32→18     16   40
alu-v3_35             5     3267.3     1985.3    0.61    0.8249   0.8585    34→19     16   42
alu-v4_37             5     3267.3     1985.3    0.61    0.8249   0.8585    34→19     16   42
miller_11             3     4283.8     2277.9    0.53    0.7947   0.8351    46→24     23   48
alu-v3_34             5     4374.0     2726.3    0.62    0.7787   0.8212    46→27     23   52
mod5d2_64             5     4765.2     3000.9    0.63    0.7742   0.8151    50→28     25   52
qe_qft_4              5     2233.0     1355.6    0.61    0.8193   0.8414    20→12     17   28
4gt13-v1_93           5     5190.9     3116.0    0.60    0.7365   0.7854    54→31     27   62
4gt13_92              5     5415.1     3227.2    0.60    0.7303   0.7838    56→32     26   66
4mod5-bdd_287         7     6085.3     3946.0    0.65    0.7251   0.7711    61→35     31   62
4mod5-v0_18           5     5335.5     3207.0    0.60    0.7377   0.7822    56→31     31   58
4mod5-v1_23           5     5806.9     3584.9    0.62    0.7164   0.7689    61→34     30   70
one-two-three-v2_100  5     6589.5     3416.0    0.52    0.7145   0.7709    62→32     29   70
one-two-three-v3_101  5     7401.2     3623.7    0.49    0.7097   0.7689    64→34     29   72
rd32_270              5     6466.5     3715.0    0.57    0.6929   0.7495    68→37     35   74
4gt5_75               5     6529.3     4147.3    0.64    0.6747   0.7347    68→38     33   82
alu-bdd_288           7     7063.5     4249.8    0.60    0.6668   0.7299    72→40     35   82
alu-v0_26             5     6985.0     3942.5    0.56    0.6765   0.7354    73→40     35   80
qe_qft_5              5     2221.1     1524.6    0.69    0.8197   0.8331    20→13     18   24
4gt5_76               5     7371.5     4541.8    0.62    0.6348   0.6937    77→45     42   90
4gt13_91              5     8913.0     4892.4    0.55    0.6224   0.6883    88→49     44   94
alu-v4_36             5     8715.6     5000.6    0.57    0.6009   0.6731    92→49     44  106
4gt13_90              5     8920.1     5136.7    0.58    0.6110   0.6779    88→51     45   98
4gt5_77               5    10051.4     6053.8    0.60    0.5538   0.6259   105→59     51  120
one-two-three-v1_99   5    10857.8     6120.4    0.56    0.5474   0.6251   115→61     56  122
rd53_138              8    10116.6     5925.0    0.59    0.5366   0.6035    99→51     42  120
one-two-three-v0_98   5    11839.8     6323.5    0.53    0.5174   0.5983   119→64     59  132
4gt10-v1_81           5    11588.3     6787.3    0.59    0.5108   0.5904   122→66     60  136
aj-e11_165            5    12898.6     7124.1    0.55    0.4965   0.5757   131→71     63  140
4mod7-v0_94           5    12286.4     7102.0    0.58    0.4908   0.5715   129→69     64  144
4mod7-v1_96           5    15220.7     7211.2    0.47    0.4859   0.5700   134→72     62  144
alu-v2_32             5    12995.1     7298.7    0.56    0.4765   0.5569   136→73     64  152
mini_alu_305         10    12672.7     9172.4    0.72    0.4399   0.5133   125→81     53  158
