circuit,qubits,two_qubit_gates,layers,max_gates_in_layer,ra_place_ms,ra_route_ms,ra_steps,ra_rearr_ms,rw_place_ms,rw_route_ms,rw_steps,rw_rearr_ms,source
graphstate,60,60,4,22,3.3,0.15,56,8.5,27.4,0.13,37,6.9,mqtbench
graphstate,100,100,6,37,10.4,0.27,88,17.3,1860.5,0.30,62,11.9,mqtbench
wstate,200,398,201,2,21.6,0.23,643,83.5,98.4,0.21,493,57.4,mqtbench
qft,200,9350,794,13,374.0,6.32,4300,619.9,1309.3,4.75,3534,546.8,mqtbench
qft,500,24350,1994,13,1138.4,15.61,10391,1635.7,3060.8,14.10,9911,1554.9,mqtbench
qpeexact,200,9697,1187,13,489.6,5.64,4766,692.8,1482.7,5.13,4306,651.8,mqtbench
ising,42,82,4,21,2.4,0.07,22,3.1,451.2,0.05,9,1.6,qasmbench
ising,98,194,4,49,16.9,0.23,23,3.2,417.9,0.16,12,1.9,qasmbench
qft,18,306,66,9,8.7,0.13,185,21.9,32.7,0.10,148,20.3,qasmbench
qft,29,680,110,9,18.6,0.36,434,57.6,64.4,0.21,284,40.5,qasmbench
bv,30,18,18,1,1.1,0.01,37,4.3,5.4,0.01,36,4.1,qasmbench
bv,70,36,36,1,3.3,0.01,73,11.0,11.4,0.01,76,8.5,qasmbench
wstate,27,52,28,2,2.4,0.02,73,8.3,11.1,0.02,62,6.7,qasmbench
seca,11,80,37,3,3.0,0.03,112,12.2,13.2,0.02,81,9.9,qasmbench
ghz,40,39,39,1,2.1,0.01,78,9.6,12.4,0.01,79,8.7,qasmbench
ghz,78,77,77,1,6.0,0.03,154,20.9,23.5,0.03,157,17.4,qasmbench
multiply,13,40,23,3,1.6,0.02,68,7.6,8.1,0.02,54,6.5,qasmbench
cat,22,21,21,1,0.9,0.01,43,4.6,6.5,0.01,42,4.5,qasmbench
cat,35,34,34,1,1.9,0.01,69,8.2,10.4,0.01,69,7.5,qasmbench
swaptest,25,84,62,12,4.3,0.05,127,13.4,27.3,0.05,121,12.3,qasmbench
knn,31,105,77,15,5.4,0.08,158,16.7,63.1,0.06,149,15.5,qasmbench
average,,,,-,100.8,1.40,155,1042.9,428.5,1.21,143,939.1,paper
