circuit,fidelity,duration_us,qubits,gates_1q,gates_2q,depth,two_qubit_layers,max_two_qubit_gates,structure_source
bv_n14,0.8571652757801561,2790.817261521812,14,28,13,16,13,1,tracked_ZAC_artifact_qiskit1.2.4
bv_n19,0.7977213843395767,3975.391001440943,19,38,18,21,18,1,tracked_ZAC_artifact_qiskit1.2.4
bv_n30,0.7728984342939629,4096.082772306836,30,39,18,21,18,1,tracked_ZAC_artifact_qiskit1.2.4
bv_n70,0.45169115418047656,9132.355654620213,70,107,36,39,36,1,tracked_ZAC_artifact_qiskit1.2.4
cat_n22,0.7620962330351111,4619.7624010741665,22,43,21,44,21,1,tracked_ZAC_artifact_qiskit1.2.4
cat_n35,0.5948632840228434,8208.30887081485,35,69,34,70,34,1,tracked_ZAC_artifact_qiskit1.2.4
ghz_n23,0.7509457285568552,4759.580876789557,23,45,22,46,22,1,tracked_ZAC_artifact_qiskit1.2.4
ghz_n40,0.5308785892598371,9656.330665710744,40,79,39,80,39,1,tracked_ZAC_artifact_qiskit1.2.4
ghz_n78,0.1832812901313134,17986.10712235585,78,155,77,156,77,1,tracked_ZAC_artifact_qiskit1.2.4
ising_n42,0.45657264365824496,3181.445741536922,42,144,82,10,4,21,tracked_ZAC_artifact_qiskit1.2.4
ising_n98,0.15528452763723904,3386.6879537596146,98,340,194,10,4,49,tracked_ZAC_artifact_qiskit1.2.4
knn_n31,0.25121152957695536,16515.956721031987,31,152,105,125,77,15,tracked_ZAC_artifact_qiskit1.2.4
multiply_n13,0.6485566343515687,7361.481981694513,13,53,40,42,23,3,tracked_ZAC_artifact_qiskit1.2.4
qft_n18,0.08133900221128934,20512.55976446989,18,324,306,117,66,9,tracked_ZAC_artifact_qiskit1.2.4
qft_n29,0.0010780802840424286,46256.916291223344,29,709,680,195,110,9,tracked_ZAC_artifact_qiskit1.2.4
seca_n11,0.44579379584413864,11315.25243965035,11,105,80,61,37,3,tracked_ZAC_artifact_qiskit1.2.4
swap_test_n25,0.3423760980691889,14207.179496635727,25,122,84,101,62,12,tracked_ZAC_artifact_qiskit1.2.4
wstate_n27,0.5219337972284739,8189.001000221132,27,105,52,56,28,2,tracked_ZAC_artifact_qiskit1.2.4
