circuit,zac_steps,ga_steps,fable_steps,agnostic_steps,astar_steps,zac_rearr_us,ga_rearr_us,fable_rearr_us,agnostic_rearr_us,astar_rearr_us,zac_total_us,ga_total_us,fable_total_us,zac_fid,ga_fid,fable_fid
bv_n30,37,37,37,37,36,4065.9,4065.9,4065.9,4266.8,4125.3,4096.7,4096.7,4096.7,0.7727,0.7727,0.7727
bv_n70,73,73,73,73,76,9053.1,9307.8,9053.1,11028.6,8452.7,9132.4,9387.0,9132.4,0.4517,0.4499,0.4517
cat_n22,43,43,43,43,42,4597.8,4597.8,4597.8,4597.8,4491.7,4619.8,4619.8,4619.8,0.7621,0.7621,0.7621
cat_n35,69,69,69,69,69,8173.6,8173.6,8173.6,8173.6,7499.4,8208.3,8208.3,8208.3,0.5949,0.5949,0.5949
ghz_n40,78,78,78,78,79,9616.7,9616.7,9616.7,9616.7,8661.1,9656.3,9656.3,9656.3,0.5309,0.5309,0.5309
ghz_n78,154,154,154,154,157,17905.9,17905.9,17905.9,20882.0,17414.4,17986.1,17986.1,17986.1,0.1833,0.1833,0.1833
ising_n42,22,14,16,22,9,3115.6,1736.9,2022.5,3057.1,1436.8,3181.4,1828.4,2114.0,0.4566,0.4742,0.4704
ising_n98,23,22,22,23,12,3233.4,3003.4,3036.5,3186.4,1722.7,3386.7,3217.4,3250.5,0.1553,0.157,0.1567
knn_n31,157,156,153,158,149,16400.7,17110.1,16529.9,16659.8,15413.4,16515.3,17222.8,16643.8,0.2513,0.2476,0.2506
multiply_n13,67,58,58,68,54,7328.8,5846.2,5846.2,7607.1,6167.6,7361.5,5882.6,5882.6,0.6486,0.657,0.657
qft_n18,177,246,243,184,146,20318.2,24783.9,24525.8,21215.0,17889.3,20512.6,24970.8,24709.6,0.0813,0.077,0.0773
qft_n29,381,370,369,383,312,46359.8,36518.1,36263.5,46768.4,39734.2,46792.6,36957.7,36691.9,0.0025,0.0032,0.0032
seca_n11,109,99,97,112,81,11279.9,9582.1,9331.4,12150.7,9344.7,11344.5,9648.6,9397.9,0.4451,0.4507,0.4515
swap_test_n25,133,126,120,127,121,14114.9,14222.0,12050.4,13370.2,12217.5,14206.6,14314.3,12140.2,0.3425,0.3432,0.356
wstate_n27,72,72,72,73,62,7918.0,7918.0,7918.0,8320.9,6722.6,7993.1,7993.1,7993.1,0.5238,0.5238,0.5238
GEOMEAN,,0.967,0.969,1.004,0.834,,,,,,,,,,,
