source,circuit,qubits,config,placement_time,routing_time,total_time,steps,rearr_ms,two_qubit_gate_layer,max_gates_in_layer,status
qasmbench,ising,42,agnostic,,,3569,22,3057.07,4,21,ok
qasmbench,ising,42,astar,,,503462,9,1436.81,4,21,ok
qasmbench,ising,98,agnostic,,,18319,23,3186.39,4,49,ok
qasmbench,ising,98,astar,,,424801,12,1722.65,4,49,ok
qasmbench,qft,18,agnostic,,,8267,184,21214.95,66,7,ok
qasmbench,qft,18,astar,,,31623,146,17889.35,66,7,ok
qasmbench,qft,29,agnostic,,,15545,383,46768.39,110,7,ok
qasmbench,qft,29,astar,,,63628,312,39734.23,110,7,ok
qasmbench,bv,30,agnostic,,,1002,37,4266.77,18,1,ok
qasmbench,bv,30,astar,,,5650,36,4125.32,18,1,ok
qasmbench,bv,70,agnostic,,,3485,73,11028.57,36,1,ok
qasmbench,bv,70,astar,,,11751,76,8452.66,36,1,ok
qasmbench,wstate,27,agnostic,,,2683,73,8320.87,28,2,ok
qasmbench,wstate,27,astar,,,11853,62,6722.64,28,2,ok
qasmbench,seca,11,agnostic,,,3013,112,12150.66,37,3,ok
qasmbench,seca,11,astar,,,14506,81,9344.66,37,3,ok
qasmbench,ghz,40,agnostic,,,2245,78,9616.67,39,1,ok
qasmbench,ghz,40,astar,,,12673,79,8661.08,39,1,ok
qasmbench,ghz,78,agnostic,,,5121,154,20882.02,77,1,ok
qasmbench,ghz,78,astar,,,25120,157,17414.41,77,1,ok
qasmbench,multiply,13,agnostic,,,2030,68,7607.07,23,3,ok
qasmbench,multiply,13,astar,,,8474,54,6167.63,23,3,ok
qasmbench,cat,22,agnostic,,,1070,43,4597.83,21,1,ok
qasmbench,cat,22,astar,,,6797,42,4491.71,21,1,ok
qasmbench,cat,35,agnostic,,,1878,69,8173.57,34,1,ok
qasmbench,cat,35,astar,,,10416,69,7499.44,34,1,ok
qasmbench,swaptest,25,agnostic,,,4666,127,13370.23,62,12,ok
qasmbench,swaptest,25,astar,,,27006,121,12217.5,62,12,ok
qasmbench,knn,31,agnostic,,,5669,158,16659.83,77,15,ok
qasmbench,knn,31,astar,,,68514,149,15413.37,77,15,ok
